0526_HM_Re4TaZr
Wavelength = 1.54059Å, !10.0°/80.0°/0.02°/1(s), I(p)=17476/699, Cu(45kV,40mA), Monday, February 23, 2026, 9:00 AM
Angle	I(o)	I(c)	I(d)	I(b)
10.0	3996	3996	0	3996
10.02	3926	3926	0	3926
10.04	3949	3949	0	3949
10.06	4052	4052	0	4052
10.08	4070	4027	43	4018
10.1	4064	4039	25	4030
10.12	4013	4054	-41	4045
10.14	4075	4066	9	4057
10.16	4097	4069	28	4059
10.18	4109	4069	40	4060
10.2	4059	4063	-4	4054
10.22	4059	4071	-12	4062
10.24	4072	4078	-6	4068
10.26	4077	4078	-1	4069
10.28	4006	4075	-69	4066
10.3	4088	4077	11	4067
10.32	4132	4082	50	4073
10.34	4098	4086	12	4077
10.36	4084	4094	-10	4084
10.38	4074	4110	-36	4100
10.4	4111	4123	-12	4114
10.42	4103	4127	-24	4118
10.44	4146	4127	19	4118
10.46	4150	4129	21	4120
10.48	4211	4134	77	4125
10.5	4164	4137	27	4127
10.52	4103	4144	-41	4134
10.54	4097	4138	-41	4129
10.56	4125	4128	-3	4118
10.58	4130	4119	11	4110
10.6	4167	4119	48	4110
10.62	4095	4115	-20	4106
10.64	4056	4114	-58	4105
10.66	4136	4115	21	4106
10.68	4163	4115	48	4106
10.7	4069	4110	-41	4101
10.72	4086	4114	-28	4105
10.74	4131	4118	13	4109
10.76	4131	4112	19	4103
10.78	4127	4112	15	4103
10.8	4130	4123	7	4114
10.82	4092	4133	-41	4123
10.84	4080	4129	-49	4120
10.86	4164	4128	36	4118
10.88	4166	4131	35	4121
10.9	4173	4136	37	4126
10.92	4097	4146	-49	4137
10.94	4119	4154	-35	4145
10.96	4154	4156	-2	4147
10.98	4176	4157	19	4148
11.0	4189	4151	38	4141
11.02	4146	4151	-5	4142
11.04	4182	4160	22	4151
11.06	4177	4172	5	4163
11.08	4115	4174	-59	4165
11.1	4100	4170	-70	4161
11.12	4205	4177	28	4168
11.14	4262	4180	82	4171
11.16	4192	4190	2	4181
11.18	4154	4207	-53	4198
11.2	4208	4224	-16	4215
11.22	4209	4225	-16	4216
11.24	4263	4215	48	4205
11.26	4269	4208	61	4199
11.28	4257	4214	43	4204
11.3	4210	4213	-3	4203
11.32	4169	4210	-41	4201
11.34	4136	4207	-71	4198
11.36	4201	4204	-3	4195
11.38	4199	4200	-1	4191
11.4	4190	4202	-12	4193
11.42	4233	4217	16	4208
11.44	4239	4231	8	4222
11.46	4224	4244	-20	4235
11.48	4225	4254	-29	4245
11.5	4309	4259	50	4249
11.52	4259	4250	9	4241
11.54	4318	4245	73	4236
11.56	4288	4255	33	4246
11.58	4233	4264	-31	4254
11.6	4158	4252	-94	4243
11.62	4193	4252	-59	4243
11.64	4314	4243	71	4234
11.66	4300	4242	58	4232
11.68	4208	4246	-38	4237
11.7	4256	4259	-3	4250
11.72	4240	4272	-32	4263
11.74	4273	4275	-2	4266
11.76	4275	4272	3	4263
11.78	4273	4284	-11	4275
11.8	4313	4294	19	4285
11.82	4338	4301	37	4292
11.84	4273	4306	-33	4296
11.86	4313	4311	2	4302
11.88	4349	4319	30	4310
11.9	4302	4323	-21	4314
11.92	4314	4321	-7	4312
11.94	4328	4324	4	4315
11.96	4344	4318	26	4309
11.98	4350	4317	33	4308
12.0	4319	4322	-3	4312
12.02	4297	4321	-24	4312
12.04	4261	4326	-65	4317
12.06	4342	4327	15	4318
12.08	4340	4327	13	4318
12.1	4309	4330	-21	4321
12.12	4374	4335	39	4326
12.14	4353	4345	8	4336
12.16	4348	4348	0	4338
12.18	4348	4344	4	4335
12.2	4343	4338	5	4329
12.22	4348	4339	9	4330
12.24	4365	4345	20	4336
12.26	4306	4342	-36	4333
12.28	4261	4349	-88	4340
12.3	4377	4354	23	4345
12.32	4407	4350	57	4341
12.34	4325	4343	-18	4334
12.36	4409	4354	55	4345
12.38	4386	4360	26	4351
12.4	4318	4357	-39	4348
12.42	4299	4352	-53	4342
12.44	4406	4363	43	4353
12.46	4311	4362	-51	4352
12.48	4353	4364	-11	4354
12.5	4357	4372	-15	4361
12.52	4418	4385	33	4375
12.54	4399	4393	6	4382
12.56	4408	4411	-3	4399
12.58	4385	4415	-30	4403
12.6	4420	4417	3	4405
12.62	4466	4422	44	4409
12.64	4466	4422	44	4409
12.66	4387	4422	-35	4408
12.68	4377	4426	-49	4412
12.7	4452	4429	23	4414
12.72	4401	4434	-33	4419
12.74	4403	4442	-39	4426
12.76	4417	4461	-44	4445
12.78	4436	4470	-34	4455
12.8	4511	4478	33	4463
12.82	4535	4491	44	4476
12.84	4555	4496	59	4482
12.86	4466	4498	-32	4484
12.88	4525	4495	30	4482
12.9	4523	4480	43	4468
12.92	4451	4465	-14	4452
12.94	4435	4452	-17	4440
12.96	4417	4444	-27	4433
12.98	4386	4429	-43	4418
13.0	4396	4418	-22	4407
13.02	4444	4424	20	4414
13.04	4402	4424	-22	4414
13.06	4389	4426	-37	4417
13.08	4424	4440	-16	4431
13.1	4518	4444	74	4435
13.12	4435	4440	-5	4431
13.14	4443	4437	6	4428
13.16	4510	4445	65	4435
13.18	4430	4449	-19	4439
13.2	4412	4440	-28	4431
13.22	4375	4447	-72	4438
13.24	4455	4452	3	4443
13.26	4460	4445	15	4436
13.28	4444	4448	-4	4439
13.3	4495	4454	41	4444
13.32	4490	4462	28	4452
13.34	4447	4457	-10	4448
13.36	4458	4454	4	4445
13.38	4458	4453	5	4443
13.4	4448	4446	2	4436
13.42	4412	4431	-19	4422
13.44	4438	4438	0	4429
13.46	4425	4441	-16	4432
13.48	4435	4431	4	4421
13.5	4359	4419	-60	4410
13.52	4510	4421	89	4411
13.54	4485	4421	64	4411
13.56	4362	4423	-61	4414
13.58	4343	4429	-86	4419
13.6	4425	4413	12	4404
13.62	4438	4416	22	4406
13.64	4450	4418	32	4409
13.66	4482	4421	61	4411
13.68	4495	4423	72	4413
13.7	4505	4425	80	4416
13.72	4453	4428	25	4418
13.74	4418	4430	-12	4421
13.76	4423	4433	-10	4423
13.78	4478	4435	43	4425
13.8	4501	4437	64	4428
13.82	4480	4440	40	4430
13.84	4455	4442	13	4432
13.86	4497	4444	53	4435
13.88	4517	4447	70	4437
13.9	4543	4449	94	4440
13.92	4491	4452	39	4442
13.94	4547	4454	93	4444
13.96	4542	4456	86	4447
13.98	4495	4459	36	4449
14.0	4528	4461	67	4451
14.02	4533	4463	70	4454
14.04	4504	4466	38	4456
14.06	4536	4468	68	4458
14.08	4518	4470	48	4461
14.1	4500	4473	27	4463
14.12	4514	4475	39	4465
14.14	4559	4477	82	4468
14.16	4493	4480	13	4470
14.18	4514	4482	32	4472
14.2	4544	4484	60	4475
14.22	4502	4487	15	4477
14.24	4532	4489	43	4479
14.26	4543	4491	52	4481
14.28	4546	4493	53	4484
14.3	4521	4496	25	4486
14.32	4466	4498	-32	4488
14.34	4422	4500	-78	4490
14.36	4543	4502	41	4493
14.38	4495	4505	-10	4495
14.4	4524	4507	17	4497
14.42	4583	4509	74	4499
14.44	4521	4511	10	4501
14.46	4546	4513	33	4504
14.48	4571	4515	56	4506
14.5	4538	4518	20	4508
14.52	4564	4520	44	4510
14.54	4589	4522	67	4512
14.56	4527	4524	3	4514
14.58	4594	4526	68	4516
14.6	4568	4528	40	4518
14.62	4489	4530	-41	4521
14.64	4509	4532	-23	4523
14.66	4517	4535	-18	4525
14.68	4587	4537	50	4527
14.7	4628	4539	89	4529
14.72	4568	4541	27	4531
14.74	4583	4543	40	4533
14.76	4613	4545	68	4535
14.78	4591	4547	44	4537
14.8	4613	4549	64	4539
14.82	4585	4551	34	4541
14.84	4594	4553	41	4543
14.86	4617	4554	63	4545
14.88	4555	4556	-1	4547
14.9	4509	4558	-49	4548
14.92	4551	4560	-9	4550
14.94	4585	4562	23	4552
14.96	4587	4564	23	4554
14.98	4651	4566	85	4556
15.0	4647	4568	79	4558
15.02	4559	4569	-10	4559
15.04	4576	4571	5	4561
15.06	4565	4573	-8	4563
15.08	4536	4575	-39	4565
15.1	4612	4576	36	4567
15.12	4642	4578	64	4568
15.14	4643	4580	63	4570
15.16	4607	4582	25	4572
15.18	4552	4583	-31	4573
15.2	4549	4585	-36	4575
15.22	4587	4587	0	4577
15.24	4586	4588	-2	4578
15.26	4610	4590	20	4580
15.28	4621	4592	29	4581
15.3	4553	4593	-40	4583
15.32	4530	4595	-65	4584
15.34	4589	4596	-7	4586
15.36	4610	4598	12	4587
15.38	4640	4599	41	4589
15.4	4628	4601	27	4590
15.42	4634	4602	32	4592
15.44	4636	4603	33	4593
15.46	4538	4605	-67	4594
15.48	4576	4606	-30	4596
15.5	4623	4608	15	4597
15.52	4570	4609	-39	4598
15.54	4584	4610	-26	4600
15.56	4605	4611	-6	4601
15.58	4674	4613	61	4602
15.6	4648	4614	34	4603
15.62	4606	4615	-9	4605
15.64	4652	4616	36	4606
15.66	4691	4618	74	4607
15.68	4633	4619	14	4608
15.7	4547	4620	-73	4609
15.72	4584	4621	-37	4610
15.74	4641	4622	19	4611
15.76	4641	4623	18	4612
15.78	4700	4624	76	4613
15.8	4659	4625	34	4614
15.82	4694	4626	68	4615
15.84	4662	4627	35	4616
15.86	4642	4628	14	4617
15.88	4637	4629	8	4618
15.9	4650	4629	21	4619
15.92	4669	4630	39	4620
15.94	4649	4631	18	4620
15.96	4646	4632	14	4621
15.98	4639	4633	6	4622
16.0	4618	4633	-15	4622
16.02	4636	4634	2	4623
16.04	4649	4635	14	4624
16.06	4707	4635	72	4624
16.08	4600	4636	-36	4625
16.1	4515	4637	-122	4626
16.12	4585	4637	-52	4626
16.14	4642	4638	4	4627
16.16	4635	4638	-3	4627
16.18	4620	4639	-19	4627
16.2	4716	4639	77	4628
16.22	4831	4640	191	4628
16.24	4785	4640	145	4629
16.26	4676	4640	36	4629
16.28	4622	4641	-19	4629
16.3	4658	4641	17	4629
16.32	4629	4641	-12	4630
16.34	4638	4641	-3	4630
16.36	4657	4642	15	4630
16.38	4670	4642	28	4630
16.4	4644	4642	2	4630
16.42	4622	4642	-20	4630
16.44	4668	4642	26	4630
16.46	4615	4642	-27	4630
16.48	4568	4642	-74	4630
16.5	4611	4642	-31	4630
16.52	4668	4642	26	4630
16.54	4669	4642	27	4630
16.56	4672	4642	30	4630
16.58	4623	4642	-19	4630
16.6	4606	4641	-35	4629
16.62	4708	4641	67	4629
16.64	4730	4641	89	4629
16.66	4696	4640	56	4628
16.68	4603	4640	-37	4628
16.7	4573	4640	-67	4628
16.72	4645	4639	6	4627
16.74	4690	4639	51	4627
16.76	4710	4638	72	4626
16.78	4722	4638	84	4625
16.8	4674	4637	37	4625
16.82	4583	4637	-54	4624
16.84	4636	4636	0	4623
16.86	4686	4635	51	4623
16.88	4719	4635	84	4622
16.9	4691	4634	57	4621
16.92	4610	4633	-23	4620
16.94	4624	4632	-8	4619
16.96	4617	4631	-14	4619
16.98	4677	4630	47	4618
17.0	4641	4630	11	4617
17.02	4571	4629	-58	4616
17.04	4590	4628	-38	4614
17.06	4699	4627	72	4613
17.08	4715	4625	90	4612
17.1	4700	4624	76	4611
17.12	4689	4623	66	4610
17.14	4620	4622	-2	4609
17.16	4630	4621	9	4607
17.18	4593	4620	-27	4606
17.2	4556	4618	-62	4605
17.22	4593	4617	-24	4603
17.24	4620	4616	4	4602
17.26	4626	4614	12	4600
17.28	4614	4613	1	4599
17.3	4550	4611	-61	4597
17.32	4539	4610	-71	4596
17.34	4632	4608	24	4594
17.36	4688	4607	81	4592
17.38	4699	4605	94	4591
17.4	4665	4604	61	4589
17.42	4638	4602	36	4587
17.44	4641	4600	41	4586
17.46	4596	4599	-3	4584
17.48	4522	4597	-75	4582
17.5	4516	4595	-79	4580
17.52	4608	4594	14	4578
17.54	4591	4592	-1	4576
17.56	4542	4590	-48	4574
17.58	4592	4588	4	4572
17.6	4654	4586	68	4570
17.62	4600	4585	15	4568
17.64	4555	4583	-28	4566
17.66	4575	4581	-6	4564
17.68	4603	4579	24	4562
17.7	4631	4577	54	4559
17.72	4633	4574	59	4557
17.74	4620	4572	48	4555
17.76	4574	4570	4	4553
17.78	4549	4568	-19	4550
17.8	4533	4566	-33	4548
17.82	4577	4564	13	4546
17.84	4623	4561	62	4543
17.86	4619	4559	60	4541
17.88	4598	4557	41	4538
17.9	4593	4555	38	4536
17.92	4589	4552	37	4533
17.94	4554	4550	4	4531
17.96	4565	4548	17	4528
17.98	4600	4545	55	4525
18.0	4554	4543	11	4523
18.02	4515	4540	-25	4520
18.04	4510	4538	-28	4517
18.06	4583	4536	47	4515
18.08	4598	4533	65	4512
18.1	4482	4531	-49	4509
18.12	4496	4528	-32	4506
18.14	4540	4526	14	4503
18.16	4524	4523	1	4500
18.18	4534	4521	13	4497
18.2	4565	4518	47	4495
18.22	4550	4516	34	4492
18.24	4493	4513	-20	4489
