(Scan or Sample ID - Optional)
Wavelength = 1.54059Å, !10.014°/119.983°/0.01671°/1(s), I(p)=2988.0/78.0, Cu(45kV,40mA), Tuesday, March 31, 2026, 1:18 PM
Angle	I(o)	I(c)	I(d)	I(b)
10.01436	102.0	-1.0	103.0	110.6
10.03107	99.0	-1.0	100.0	110.4
10.04778	128.0	-1.0	129.0	110.3
10.06449	117.0	-1.0	118.0	110.1
10.0812	125.0	-1.0	126.0	110.0
10.09791	112.0	-1.0	113.0	109.8
10.11462	110.0	-1.0	111.0	109.7
10.13133	127.0	-1.0	128.0	109.5
10.14804	130.0	-1.0	131.0	109.4
10.16475	124.0	-1.0	125.0	109.2
10.18146	110.0	-1.0	111.0	109.1
10.19817	106.0	-1.0	107.0	108.9
10.21488	103.0	-1.0	104.0	108.8
10.23159	126.0	-1.0	127.0	108.6
10.2483	108.0	-1.0	109.0	108.5
10.26501	113.0	-1.0	114.0	108.3
10.28172	101.0	-1.0	102.0	108.1
10.29843	129.0	-1.0	130.0	108.0
10.31514	101.0	-1.0	102.0	107.8
10.33185	126.0	-1.0	127.0	107.7
10.34856	97.0	-1.0	98.0	107.5
10.36527	117.0	-1.0	118.0	107.4
10.38198	89.0	-1.0	90.0	107.2
10.39869	115.0	-1.0	116.0	107.1
10.4154	91.0	-1.0	92.0	106.9
10.43211	91.0	-1.0	92.0	106.8
10.44882	118.0	-1.0	119.0	106.7
10.46553	104.0	-1.0	105.0	106.5
10.48224	115.0	-1.0	116.0	106.4
10.49895	116.0	-1.0	117.0	106.2
10.51566	105.0	-1.0	106.0	106.1
10.53237	110.0	-1.0	111.0	105.9
10.54908	110.0	-1.0	111.0	105.8
10.56579	109.0	-1.0	110.0	105.6
10.5825	111.0	-1.0	112.0	105.5
10.59921	105.0	-1.0	106.0	105.3
10.61592	114.0	-1.0	115.0	105.2
10.63263	101.0	-1.0	102.0	105.0
10.64934	94.0	-1.0	95.0	104.9
10.66605	130.0	-1.0	131.0	104.8
10.68276	101.0	-1.0	102.0	104.6
10.69947	106.0	-1.0	107.0	104.5
10.71618	123.0	-1.0	124.0	104.3
10.73289	98.0	-1.0	99.0	104.2
10.7496	106.0	-1.0	107.0	104.0
10.76631	106.0	-1.0	107.0	103.9
10.78302	111.0	-1.0	112.0	103.8
10.79973	92.0	-1.0	93.0	103.6
10.81644	124.0	-1.0	125.0	103.5
10.83315	122.0	-1.0	123.0	103.3
10.84986	102.0	-1.0	103.0	103.2
10.86657	103.0	-1.0	104.0	103.1
10.88328	114.0	-1.0	115.0	102.9
10.89999	91.0	-1.0	92.0	102.8
10.9167	117.0	-1.0	118.0	102.7
10.93341	114.0	-1.0	115.0	102.5
10.95012	145.0	-1.0	146.0	102.4
10.96683	109.0	-1.0	110.0	102.3
10.98354	104.0	-1.0	105.0	102.1
11.00025	121.0	-1.0	122.0	102.0
11.01696	129.0	-1.0	130.0	101.9
11.03367	123.0	-1.0	124.0	101.7
11.05038	111.0	-1.0	112.0	101.6
11.06709	102.0	-1.0	103.0	101.5
11.0838	101.0	-1.0	102.0	101.3
11.10051	106.0	-1.0	107.0	101.2
11.11722	99.0	-1.0	100.0	101.1
11.13393	119.0	-1.0	120.0	101.0
11.15064	100.0	-1.0	101.0	100.8
11.16735	103.0	-1.0	104.0	100.7
11.18406	118.0	-1.0	119.0	100.6
11.20077	112.0	-1.0	113.0	100.5
11.21748	117.0	-1.0	118.0	100.3
