HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=9423.0/305.0, Cu(45kV,40mA), Saturday, February 28, 2026, 4:59 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3199.0	3199.0	0.0	3199.0
5.02	3240.0	3240.0	0.0	3240.0
5.04	3323.0	3323.0	0.0	3323.0
5.06	3149.0	3149.0	0.0	3149.0
5.08	3248.0	3250.7	-2.7	3244.2
5.1	3340.0	3247.7	92.3	3241.2
5.12	3253.0	3255.2	-2.2	3248.7
5.14	3239.0	3262.1	-23.1	3255.6
5.16	3265.0	3276.8	-11.8	3270.3
5.18	3172.0	3287.3	-115.3	3280.8
5.2	3308.0	3275.1	32.9	3268.6
5.22	3385.0	3279.8	105.2	3273.3
5.24	3281.0	3286.7	-5.7	3280.2
5.26	3343.0	3293.2	49.8	3286.7
5.28	3230.0	3309.8	-79.8	3303.3
5.3	3295.0	3305.4	-10.4	3299.0
5.32	3301.0	3297.0	4.0	3290.5
5.34	3324.0	3300.6	23.4	3294.1
5.36	3321.0	3302.4	18.6	3296.0
5.38	3269.0	3313.4	-44.4	3307.0
5.4	3309.0	3325.4	-16.4	3319.0
5.42	3313.0	3334.2	-21.2	3327.7
5.44	3360.0	3342.3	17.7	3335.8
5.46	3329.0	3351.1	-22.1	3344.6
5.48	3403.0	3374.7	28.3	3368.2
5.5	3380.0	3366.2	13.8	3359.7
5.52	3397.0	3367.4	29.6	3361.0
5.54	3400.0	3375.1	24.9	3368.6
5.56	3481.0	3382.1	98.9	3375.6
5.58	3233.0	3379.2	-146.2	3372.7
5.6	3324.0	3378.4	-54.4	3371.9
5.62	3429.0	3383.4	45.6	3376.9
5.64	3392.0	3388.4	3.6	3381.9
5.66	3377.0	3393.4	-16.4	3386.9
5.68	3367.0	3398.3	-31.3	3391.8
5.7	3360.0	3403.3	-43.3	3396.8
5.72	3333.0	3408.2	-75.2	3401.7
5.74	3470.0	3413.1	56.9	3406.7
5.76	3364.0	3418.0	-54.0	3411.6
5.78	3425.0	3422.9	2.1	3416.4
5.8	3449.0	3427.8	21.2	3421.3
5.82	3274.0	3432.6	-158.6	3426.1
5.84	3421.0	3437.4	-16.4	3430.9
5.86	3517.0	3442.1	74.9	3435.6
5.88	3260.0	3446.8	-186.8	3440.3
5.9	3384.0	3451.5	-67.5	3445.0
5.92	3371.0	3456.1	-85.1	3449.6
5.94	3435.0	3460.7	-25.7	3454.2
5.96	3533.0	3465.2	67.8	3458.7
5.98	3401.0	3469.7	-68.7	3463.2
6.0	3452.0	3474.1	-22.1	3467.6
6.02	3484.0	3478.5	5.5	3472.0
6.04	3435.0	3482.8	-47.8	3476.3
6.06	3434.0	3487.0	-53.0	3480.5
6.08	3403.0	3491.2	-88.2	3484.7
6.1	3301.0	3495.3	-194.3	3488.8
6.12	3534.0	3499.3	34.7	3492.9
6.14	3557.0	3503.3	53.7	3496.8
6.16	3463.0	3507.2	-44.2	3500.7
6.18	3500.0	3511.0	-11.0	3504.5
6.2	3483.0	3514.7	-31.7	3508.2
6.22	3466.0	3518.4	-52.4	3511.9
6.24	3452.0	3521.9	-69.9	3515.4
6.26	3461.0	3525.4	-64.4	3518.9
6.28	3360.0	3528.7	-168.7	3522.2
6.3	3502.0	3532.0	-30.0	3525.5
6.32	3442.0	3535.2	-93.2	3528.7
6.34	3440.0	3538.2	-98.2	3531.7
6.36	3500.0	3541.2	-41.2	3534.7
6.38	3517.0	3544.1	-27.1	3537.6
6.4	3536.0	3546.8	-10.8	3540.3
6.42	3521.0	3549.4	-28.4	3542.9
6.44	3581.0	3552.0	29.0	3545.5
6.46	3508.0	3554.4	-46.4	3547.9
6.48	3531.0	3556.6	-25.6	3550.2
6.5	3505.0	3558.8	-53.8	3552.3
6.52	3519.0	3560.8	-41.8	3554.3
6.54	3535.0	3562.7	-27.7	3556.2
6.56	3477.0	3564.5	-87.5	3558.0
6.58	3508.0	3566.1	-58.1	3559.7
6.6	3512.0	3567.6	-55.6	3561.2
6.62	3635.0	3569.0	66.0	3562.5
6.64	3584.0	3570.2	13.8	3563.7
6.66	3640.0	3571.3	68.7	3564.8
6.68	3489.0	3572.2	-83.2	3565.7
6.7	3626.0	3573.0	53.0	3566.5
6.72	3545.0	3573.6	-28.6	3567.1
6.74	3548.0	3574.1	-26.1	3567.6
6.76	3645.0	3574.4	70.6	3567.9
6.78	3609.0	3574.5	34.5	3568.0
6.8	3591.0	3574.5	16.5	3568.0
6.82	3537.0	3574.4	-37.4	3567.9
6.84	3622.0	3574.1	47.9	3567.6
6.86	3472.0	3573.6	-101.6	3567.1
6.88	3539.0	3573.1	-34.1	3566.6
6.9	3698.0	3572.4	125.6	3565.9
6.92	3532.0	3571.5	-39.5	3565.1
6.94	3454.0	3570.6	-116.6	3564.1
6.96	3537.0	3569.5	-32.5	3563.0
6.98	3596.0	3568.4	27.6	3561.9
7.0	3600.0	3567.1	32.9	3560.6
7.02	3619.0	3565.7	53.3	3559.2
7.04	3530.0	3564.2	-34.2	3557.7
7.06	3566.0	3562.6	3.4	3556.1
7.08	3507.0	3561.0	-54.0	3554.5
7.1	3528.0	3559.2	-31.2	3552.7
7.12	3473.0	3557.4	-84.4	3550.9
7.14	3501.0	3555.5	-54.5	3549.0
7.16	3451.0	3553.5	-102.5	3547.0
7.18	3557.0	3551.5	5.5	3545.0
7.2	3468.0	3549.4	-81.4	3542.9
7.22	3421.0	3547.2	-126.2	3540.7
7.24	3520.0	3545.0	-25.0	3538.5
7.26	3512.0	3542.7	-30.7	3536.2
7.28	3507.0	3540.4	-33.4	3533.9
7.3	3468.0	3538.1	-70.1	3531.6
7.32	3509.0	3535.7	-26.7	3529.2
7.34	3504.0	3533.3	-29.3	3526.8
7.36	3580.0	3530.8	49.2	3524.3
7.38	3487.0	3528.4	-41.4	3521.9
7.4	3537.0	3525.9	11.1	3519.4
7.42	3574.0	3523.4	50.6	3516.9
7.44	3536.0	3520.9	15.1	3514.4
7.46	3483.0	3518.4	-35.4	3511.9
7.48	3393.0	3515.9	-122.9	3509.4
7.5	3556.0	3513.4	42.6	3506.9
7.52	3450.0	3511.0	-61.0	3504.5
7.54	3486.0	3508.5	-22.5	3502.0
7.56	3496.0	3506.1	-10.1	3499.6
7.58	3552.0	3503.6	48.4	3497.1
7.6	3453.0	3501.2	-48.2	3494.8
7.62	3451.0	3498.9	-47.9	3492.4
7.64	3520.0	3496.6	23.4	3490.1
7.66	3436.0	3494.3	-58.3	3487.8
7.68	3476.0	3492.1	-16.1	3485.6
7.7	3480.0	3489.9	-9.9	3483.4
7.72	3561.0	3487.8	73.2	3481.3
7.74	3414.0	3485.7	-71.7	3479.2
