HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=18890/363, Cu(45kV,40mA), Sunday, March 01, 2026, 2:55 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3558	3502	56	3495
5.02	3471	3507	-36	3499
5.04	3476	3512	-36	3504
5.06	3558	3516	42	3509
5.08	3447	3521	-74	3514
5.1	3496	3526	-30	3519
5.12	3581	3531	50	3523
5.14	3437	3536	-99	3528
5.16	3519	3541	-22	3533
5.18	3492	3545	-53	3538
5.2	3457	3550	-93	3543
5.22	3467	3555	-88	3548
5.24	3629	3560	69	3552
5.26	3499	3565	-66	3557
5.28	3403	3569	-166	3562
5.3	3505	3574	-69	3567
5.32	3455	3579	-124	3571
5.34	3495	3584	-89	3576
5.36	3426	3588	-162	3581
5.38	3487	3593	-106	3586
5.4	3542	3598	-56	3591
5.42	3536	3603	-67	3595
5.44	3563	3607	-44	3600
5.46	3518	3612	-94	3605
5.48	3584	3617	-33	3610
5.5	3480	3622	-142	3614
5.52	3437	3626	-189	3619
5.54	3538	3631	-93	3624
5.56	3622	3636	-14	3628
5.58	3623	3640	-17	3633
5.6	3507	3645	-138	3638
5.62	3576	3650	-74	3642
5.64	3706	3655	51	3647
5.66	3662	3659	3	3652
5.68	3521	3664	-143	3656
5.7	3605	3668	-63	3661
5.72	3604	3673	-69	3666
5.74	3604	3678	-74	3670
5.76	3608	3682	-74	3675
5.78	3626	3687	-61	3680
5.8	3593	3692	-99	3684
5.82	3637	3696	-59	3689
5.84	3591	3701	-110	3693
5.86	3587	3705	-118	3698
5.88	3617	3710	-93	3702
5.9	3508	3714	-206	3707
5.92	3681	3719	-38	3711
5.94	3632	3723	-91	3716
5.96	3673	3728	-55	3720
5.98	3633	3732	-99	3725
6.0	3629	3737	-108	3729
6.02	3628	3741	-113	3734
6.04	3673	3746	-73	3738
6.06	3626	3750	-124	3743
6.08	3716	3754	-38	3747
6.1	3676	3759	-83	3751
6.12	3639	3763	-124	3756
6.14	3694	3767	-73	3760
6.16	3777	3772	5	3764
6.18	3740	3776	-36	3769
6.2	3707	3780	-73	3773
6.22	3672	3785	-113	3777
6.24	3736	3789	-53	3781
6.26	3681	3793	-112	3786
6.28	3734	3797	-63	3790
6.3	3754	3801	-47	3794
6.32	3650	3806	-156	3798
6.34	3711	3810	-99	3802
6.36	3813	3814	-1	3807
6.38	3702	3818	-116	3811
6.4	3719	3822	-103	3815
6.42	3766	3826	-60	3819
6.44	3749	3830	-81	3823
6.46	3737	3834	-97	3827
6.48	3743	3838	-95	3831
6.5	3854	3842	12	3835
6.52	3856	3846	10	3839
6.54	3795	3850	-55	3843
6.56	3871	3854	17	3847
6.58	3816	3858	-42	3851
6.6	3923	3862	61	3855
6.62	3758	3866	-108	3858
6.64	3857	3870	-13	3862
6.66	3880	3873	7	3866
6.68	3880	3877	3	3870
6.7	3845	3881	-36	3874
6.72	3985	3885	100	3877
6.74	3885	3888	-3	3881
6.76	3677	3892	-215	3885
6.78	3938	3896	42	3888
6.8	3838	3899	-61	3892
6.82	3907	3903	4	3896
6.84	3909	3907	2	3899
6.86	3839	3910	-71	3903
6.88	3885	3914	-29	3906
6.9	3855	3917	-62	3910
6.92	3952	3921	31	3913
6.94	3936	3924	12	3917
6.96	3860	3927	-67	3920
6.98	4006	3931	75	3923
7.0	3961	3934	27	3927
7.02	3914	3937	-23	3930
7.04	3962	3941	21	3933
7.06	3926	3944	-18	3936
7.08	3946	3947	-1	3940
7.1	3751	3950	-199	3943
7.12	3867	3953	-86	3946
7.14	3954	3957	-3	3949
7.16	3858	3960	-102	3952
7.18	3901	3963	-62	3955
7.2	3937	3966	-29	3958
7.22	3929	3969	-40	3961
7.24	3965	3972	-7	3964
7.26	4033	3975	58	3967
7.28	3937	3978	-41	3970
7.3	4099	3980	119	3973
7.32	4016	3983	33	3976
7.34	3936	3986	-50	3979
7.36	3892	3989	-97	3981
7.38	3891	3992	-101	3984
7.4	3898	3994	-96	3987
7.42	3909	3997	-88	3989
7.44	4009	4000	9	3992
7.46	3905	4002	-97	3995
7.48	3954	4005	-51	3997
7.5	3985	4007	-22	4000
7.52	4068	4010	58	4002
7.54	4014	4012	2	4005
7.56	4049	4014	35	4007
7.58	3919	4017	-98	4009
7.6	3957	4019	-62	4012
7.62	3948	4021	-73	4014
7.64	4042	4024	18	4016
7.66	3813	4026	-213	4018
7.68	4023	4028	-5	4021
7.7	4091	4030	61	4023
7.72	3933	4032	-99	4025
7.74	3966	4034	-68	4027
7.76	4019	4036	-17	4029
7.78	4007	4038	-31	4031
7.8	3982	4040	-58	4033
7.82	3963	4042	-79	4035
7.84	3970	4044	-74	4036
7.86	4048	4046	2	4038
7.88	3994	4047	-53	4040
7.9	3971	4049	-78	4042
7.92	4031	4051	-20	4043
7.94	4073	4052	21	4045
7.96	3989	4054	-65	4046
7.98	4020	4055	-35	4048
8.0	4106	4057	49	4050
8.02	4054	4058	-4	4051
8.04	3916	4060	-144	4052
8.06	4097	4061	36	4054
8.08	4080	4062	18	4055
8.1	4032	4064	-32	4056
8.12	4092	4065	27	4057
8.14	4083	4066	17	4059
8.16	4064	4067	-3	4060
8.18	4007	4068	-61	4061
8.2	4175	4069	106	4062
8.22	4048	4070	-22	4063
8.24	4035	4071	-36	4064
8.26	4049	4072	-23	4065
8.28	3941	4073	-132	4065
8.3	4057	4074	-17	4066
8.32	4080	4074	6	4067
8.34	4254	4075	179	4068
8.36	4023	4076	-53	4068
8.38	3979	4076	-97	4069
8.4	4090	4077	13	4069
8.42	4003	4077	-74	4070
8.44	4025	4078	-53	4070
8.46	4155	4078	77	4071
8.48	4094	4079	15	4071
8.5	4181	4079	102	4071
8.52	4126	4079	47	4072
8.54	4099	4079	20	4072
8.56	4187	4080	107	4072
8.58	4140	4080	60	4073
8.6	4075	4080	-5	4073
8.62	3986	4081	-95	4073
8.64	4131	4081	50	4073
8.66	4123	4081	42	4074
8.68	4216	4081	135	4074
8.7	4054	4082	-28	4074
8.72	4079	4082	-3	4075
8.74	4102	4083	19	4075
8.76	4203	4083	120	4076
8.78	4043	4084	-41	4076
8.8	4034	4084	-50	4077
8.82	4018	4085	-67	4078
8.84	4002	4086	-84	4078
8.86	4154	4087	67	4079
8.88	4127	4088	39	4080
8.9	4168	4089	79	4081
8.92	4075	4090	-15	4082
8.94	4137	4091	46	4084
8.96	4141	4092	49	4085
8.98	4055	4094	-39	4087
9.0	4012	4096	-84	4088
9.02	4083	4097	-14	4090
9.04	4069	4099	-30	4092
9.06	4151	4101	50	4094
9.08	4127	4103	24	4096
9.1	4206	4106	100	4098
9.12	4072	4108	-36	4101
9.14	4076	4111	-35	4104
9.16	4163	4114	49	4106
9.18	4142	4117	25	4110
9.2	4205	4120	85	4113
9.22	4231	4124	107	4116
9.24	4196	4127	69	4120
9.26	4157	4131	26	4124
9.28	4090	4135	-45	4128
9.3	4164	4139	25	4132
9.32	4148	4144	4	4137
9.34	4202	4149	53	4141
9.36	4184	4154	30	4146
9.38	4241	4159	82	4152
9.4	4270	4164	106	4157
9.42	4363	4170	193	4163
9.44	4118	4176	-58	4169
9.46	4131	4183	-52	4175
9.48	4147	4189	-42	4182
9.5	4299	4196	103	4189
9.52	4174	4203	-29	4196
9.54	4236	4211	25	4203
9.56	4200	4218	-18	4211
9.58	4221	4226	-5	4219
9.6	4300	4235	65	4227
9.62	4255	4244	11	4236
9.64	4337	4253	84	4245
9.66	4189	4262	-73	4255
9.68	4357	4272	85	4264
9.7	4213	4282	-69	4274
9.72	4277	4292	-15	4285
9.74	4372	4303	69	4296
9.76	4235	4314	-79	4307
9.78	4258	4326	-68	4318
9.8	4263	4338	-75	4330
9.82	4183	4350	-167	4342
9.84	4427	4362	65	4355
9.86	4302	4375	-73	4368
9.88	4284	4389	-105	4381
9.9	4296	4402	-106	4395
9.92	4293	4416	-123	4409
9.94	4419	4430	-11	4423
9.96	4442	4445	-3	4437
9.98	4379	4460	-81	4452
10.0	4440	4475	-35	4467
10.02	4544	4490	54	4483
10.04	4445	4506	-61	4498
10.06	4304	4521	-217	4514
10.08	4446	4537	-91	4530
10.1	4420	4554	-134	4546
10.12	4396	4570	-174	4563
10.14	4603	4587	16	4579
10.16	4618	4604	14	4596
10.18	4444	4621	-177	4613
10.2	4400	4638	-238	4631
10.22	4567	4656	-89	4648
10.24	4561	4673	-112	4666
10.26	4617	4691	-74	4684
10.28	4680	4709	-29	4701
10.3	4645	4727	-82	4719
10.32	4546	4745	-199	4738
10.34	4582	4763	-181	4756
10.36	4677	4782	-105	4774
10.38	4670	4800	-130	4793
10.4	4765	4819	-54	4811
10.42	4749	4837	-88	4830
10.44	4759	4856	-97	4848
10.46	4886	4875	11	4867
10.48	4719	4893	-174	4886
10.5	4910	4912	-2	4905
10.52	4767	4931	-164	4924
10.54	4861	4950	-89	4942
10.56	4911	4969	-58	4961
10.58	4849	4988	-139	4980
10.6	5124	5006	118	4999
10.62	4936	5025	-89	5018
10.64	4925	5044	-119	5037
10.66	4944	5063	-119	5055
10.68	5058	5081	-23	5074
10.7	4949	5100	-151	5093
10.72	5079	5119	-40	5111
10.74	5016	5137	-121	5130
10.76	5040	5156	-116	5148
10.78	5072	5174	-102	5166
10.8	5297	5192	105	5185
10.82	5276	5210	66	5203
10.84	5033	5228	-195	5221
10.86	5157	5246	-89	5239
10.88	5371	5264	107	5256
10.9	5165	5281	-116	5274
10.92	5237	5299	-62	5291
10.94	5362	5316	46	5308
10.96	5263	5333	-70	5325
10.98	5300	5350	-50	5342
11.0	5294	5366	-72	5359
11.02	5127	5383	-256	5375
11.04	5259	5399	-140	5391
11.06	5414	5415	-1	5407
11.08	5389	5430	-41	5423
11.1	5375	5446	-71	5438
11.12	5392	5461	-69	5454
11.14	5621	5476	145	5469
11.16	5527	5491	36	5483
11.18	5466	5505	-39	5498
11.2	5592	5519	73	5512
11.22	5562	5533	29	5525
11.24	5534	5546	-12	5539
11.26	5512	5559	-47	5552
11.28	5610	5572	38	5565
11.3	5640	5585	55	5577
11.32	5742	5597	145	5589
11.34	5652	5609	43	5601
11.36	5766	5620	146	5612
11.38	5657	5631	26	5623
11.4	5685	5641	44	5634
11.42	5696	5652	44	5644
11.44	5731	5661	70	5654
11.46	5716	5671	45	5663
11.48	5739	5680	59	5672
11.5	5812	5688	124	5681
11.52	5782	5696	86	5689
11.54	5706	5704	2	5696
11.56	5656	5711	-55	5703
11.58	5807	5717	90	5710
11.6	5763	5724	39	5716
11.62	5768	5729	39	5722
11.64	5859	5734	125	5727
11.66	5753	5739	14	5732
11.68	5667	5743	-76	5736
11.7	5868	5747	121	5739
11.72	5767	5750	17	5742
11.74	5778	5752	26	5745
11.76	5749	5754	-5	5747
11.78	5743	5755	-12	5748
11.8	5669	5756	-87	5749
11.82	5655	5756	-101	5749
11.84	5788	5756	32	5748
11.86	5806	5755	51	5747
11.88	5814	5753	61	5746
11.9	5619	5751	-132	5743
11.92	5676	5748	-72	5741
11.94	5646	5745	-99	5737
11.96	5880	5741	139	5733
11.98	5660	5736	-76	5729
12.0	5733	5731	2	5724
12.02	5483	5726	-243	5718
12.04	5681	5719	-38	5712
12.06	5569	5713	-144	5705
12.08	5682	5706	-24	5698
12.1	5582	5698	-116	5690
12.12	5674	5690	-16	5682
12.14	5566	5681	-115	5674
12.16	5650	5672	-22	5664
12.18	5548	5662	-114	5655
12.2	5579	5652	-73	5644
12.22	5499	5641	-142	5634
12.24	5515	5630	-115	5623
12.26	5491	5619	-128	5611
12.28	5518	5607	-89	5599
12.3	5408	5594	-186	5587
12.32	5535	5581	-46	5574
12.34	5328	5568	-240	5561
12.36	5459	5554	-95	5547
12.38	5344	5540	-196	5533
12.4	5387	5526	-139	5518
12.42	5340	5511	-171	5503
12.44	5378	5496	-118	5488
12.46	5306	5480	-174	5472
12.48	5213	5464	-251	5456
12.5	5336	5447	-111	5440
12.52	5230	5431	-201	5423
12.54	5222	5414	-192	5406
12.56	5256	5396	-140	5389
12.58	5105	5378	-273	5371
12.6	5150	5360	-210	5353
12.62	5093	5342	-249	5334
12.64	5304	5323	-19	5316
12.66	5189	5304	-115	5296
12.68	5149	5285	-136	5277
12.7	5067	5265	-198	5257
12.72	5057	5245	-188	5238
12.74	4953	5225	-272	5217
12.76	5034	5204	-170	5197
12.78	5074	5184	-110	5176
12.8	5110	5163	-53	5155
12.82	4969	5141	-172	5134
12.84	5021	5120	-99	5112
12.86	5038	5098	-60	5091
12.88	5003	5076	-73	5069
12.9	5140	5054	86	5047
12.92	5007	5032	-25	5024
12.94	4954	5009	-55	5002
12.96	4925	4986	-61	4979
12.98	4854	4963	-109	4956
13.0	4900	4940	-40	4933
13.02	4747	4917	-170	4910
13.04	4703	4893	-190	4886
13.06	4642	4870	-228	4862
13.08	4574	4846	-272	4839
13.1	4694	4822	-128	4815
13.12	4600	4798	-198	4791
13.14	4520	4774	-254	4766
13.16	4429	4750	-321	4742
13.18	4508	4725	-217	4718
13.2	4515	4701	-186	4693
13.22	4505	4676	-171	4669
13.24	4480	4651	-171	4644
13.26	4420	4627	-207	4619
13.28	4355	4602	-247	4594
13.3	4369	4577	-208	4569
13.32	4369	4552	-183	4544
13.34	4257	4527	-270	4519
13.36	4389	4502	-113	4494
13.38	4326	4476	-150	4469
13.4	4209	4451	-242	4444
13.42	4216	4426	-210	4419
13.44	4315	4401	-86	4394
13.46	4256	4376	-120	4368
13.48	4119	4350	-231	4343
13.5	4181	4325	-144	4318
13.52	4058	4300	-242	4293
13.54	4186	4275	-89	4267
13.56	3994	4250	-256	4242
13.58	4145	4225	-80	4217
13.6	4078	4200	-122	4192
13.62	3928	4175	-247	4167
13.64	3994	4150	-156	4142
13.66	3998	4125	-127	4117
13.68	3906	4100	-194	4092
13.7	3936	4075	-139	4068
13.72	3910	4050	-140	4043
13.74	3940	4026	-86	4018
13.76	3907	4001	-94	3994
13.78	3879	3977	-98	3970
13.8	3871	3953	-82	3945
13.82	3794	3929	-135	3921
13.84	3887	3905	-18	3897
13.86	3912	3881	31	3873
13.88	3945	3857	88	3850
13.9	3779	3834	-55	3826
13.92	3723	3810	-87	3803
13.94	3772	3787	-15	3780
13.96	3735	3764	-29	3757
13.98	3753	3741	12	3734
14.0	3773	3718	55	3711
14.02	3601	3696	-95	3689
14.04	3599	3674	-75	3666
14.06	3695	3652	43	3644
14.08	3602	3630	-28	3622
14.1	3518	3608	-90	3601
14.12	3571	3586	-15	3579
14.14	3572	3565	7	3558
14.16	3507	3544	-37	3536
14.18	3624	3523	101	3515
14.2	3527	3502	25	3495
14.22	3456	3481	-25	3474
14.24	3332	3461	-129	3453
14.26	3457	3441	16	3433
14.28	3501	3420	81	3413
14.3	3412	3401	11	3393
