HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=13613/367, Cu(45kV,40mA), Wednesday, April 29, 2026, 8:51 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3515	3465	50	3458
5.02	3453	3467	-14	3460
5.04	3456	3470	-14	3462
5.06	3415	3472	-57	3464
5.08	3487	3474	13	3467
5.1	3381	3477	-96	3469
5.12	3372	3479	-107	3471
5.14	3458	3481	-23	3474
5.16	3464	3483	-19	3476
5.18	3459	3486	-27	3478
5.2	3482	3488	-6	3481
5.22	3472	3491	-19	3483
5.24	3447	3493	-46	3485
5.26	3446	3495	-49	3488
5.28	3415	3498	-83	3490
5.3	3462	3500	-38	3493
5.32	3417	3503	-86	3495
5.34	3493	3505	-12	3498
5.36	3483	3508	-25	3500
5.38	3514	3511	3	3503
5.4	3539	3513	26	3506
5.42	3662	3516	146	3509
5.44	3616	3519	97	3511
5.46	3549	3522	27	3514
5.48	3596	3524	72	3517
5.5	3618	3527	91	3520
5.52	3392	3530	-138	3523
5.54	3460	3533	-73	3526
5.56	3586	3537	49	3529
5.58	3493	3540	-47	3532
5.6	3492	3543	-51	3535
5.62	3586	3546	40	3539
5.64	3543	3549	-6	3542
5.66	3495	3553	-58	3545
5.68	3435	3556	-121	3549
5.7	3530	3560	-30	3552
5.72	3603	3563	40	3556
5.74	3444	3567	-123	3559
5.76	3511	3570	-59	3563
5.78	3600	3574	26	3567
5.8	3572	3578	-6	3570
5.82	3608	3581	27	3574
5.84	3537	3585	-48	3578
5.86	3545	3589	-44	3582
5.88	3619	3593	26	3585
5.9	3622	3597	25	3589
5.92	3599	3601	-2	3593
5.94	3671	3605	66	3597
5.96	3631	3609	22	3601
5.98	3670	3613	57	3605
6.0	3660	3617	43	3609
6.02	3653	3621	32	3613
6.04	3643	3625	18	3618
6.06	3617	3629	-12	3622
6.08	3832	3633	199	3626
6.1	3760	3638	122	3630
6.12	3721	3642	79	3634
6.14	3666	3646	20	3639
6.16	3702	3651	51	3643
6.18	3606	3655	-49	3647
6.2	3771	3659	112	3652
6.22	3759	3664	95	3656
6.24	3728	3668	60	3661
6.26	3848	3672	176	3665
6.28	3744	3677	67	3669
6.3	3693	3681	12	3674
6.32	3888	3686	202	3678
6.34	3792	3690	102	3683
