HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=43906/4211, Cu(45kV,40mA), Tuesday, March 03, 2026, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	4416	4336	80	4320
5.02	4211	4345	-134	4330
5.04	4244	4355	-111	4340
5.06	4422	4365	57	4349
5.08	4385	4374	11	4359
5.1	4338	4384	-46	4369
5.12	4360	4394	-34	4379
5.14	4305	4403	-98	4388
5.16	4484	4413	71	4398
5.18	4377	4423	-46	4408
5.2	4273	4432	-159	4417
5.22	4516	4442	74	4427
5.24	4428	4452	-24	4436
5.26	4348	4461	-113	4446
5.28	4441	4471	-30	4456
5.3	4308	4480	-172	4465
5.32	4558	4490	68	4475
5.34	4332	4500	-168	4485
5.36	4399	4509	-110	4494
5.38	4506	4519	-13	4504
5.4	4367	4528	-161	4513
5.42	4581	4538	43	4523
5.44	4448	4548	-100	4532
5.46	4415	4557	-142	4542
5.48	4509	4567	-58	4551
5.5	4454	4576	-122	4561
5.52	4494	4586	-92	4570
5.54	4482	4595	-113	4580
5.56	4530	4605	-75	4589
5.58	4545	4614	-69	4599
5.6	4424	4623	-199	4608
5.62	4541	4633	-92	4618
5.64	4654	4642	12	4627
5.66	4523	4652	-129	4636
5.68	4478	4661	-183	4646
5.7	4611	4670	-59	4655
5.72	4723	4680	43	4664
5.74	4524	4689	-165	4674
5.76	4593	4698	-105	4683
5.78	4635	4707	-72	4692
5.8	4534	4717	-183	4701
5.82	4579	4726	-147	4711
5.84	4496	4735	-239	4720
5.86	4669	4744	-75	4729
5.88	4664	4753	-89	4738
5.9	4604	4762	-158	4747
5.92	4652	4771	-119	4756
5.94	4781	4780	1	4765
5.96	4686	4789	-103	4774
5.98	4762	4798	-36	4783
6.0	4655	4807	-152	4792
6.02	4684	4816	-132	4801
6.04	4800	4825	-25	4810
6.06	4703	4834	-131	4819
6.08	4654	4843	-189	4828
6.1	4713	4852	-139	4837
6.12	4845	4861	-16	4845
6.14	4779	4869	-90	4854
6.16	4802	4878	-76	4863
6.18	4886	4887	-1	4872
6.2	4893	4895	-2	4880
6.22	4931	4904	27	4889
6.24	4835	4913	-78	4897
6.26	5072	4921	151	4906
6.28	4877	4930	-53	4914
6.3	4833	4938	-105	4923
6.32	4848	4946	-98	4931
6.34	4877	4955	-78	4940
6.36	4896	4963	-67	4948
6.38	4967	4972	-5	4956
6.4	4938	4980	-42	4965
6.42	4916	4988	-72	4973
6.44	4950	4996	-46	4981
6.46	4947	5004	-57	4989
6.48	5019	5012	7	4997
6.5	4925	5020	-95	5005
6.52	4906	5029	-123	5013
6.54	5042	5036	6	5021
6.56	4916	5044	-128	5029
6.58	5066	5052	14	5037
6.6	4966	5060	-94	5045
6.62	5077	5068	9	5053
6.64	5101	5076	25	5060
6.66	5062	5083	-21	5068
6.68	5028	5091	-63	5076
6.7	5076	5099	-23	5083
6.72	5134	5106	28	5091
6.74	5167	5114	53	5098
6.76	5062	5121	-59	5106
6.78	4995	5128	-133	5113
6.8	5091	5136	-45	5121
6.82	5057	5143	-86	5128
6.84	5068	5150	-82	5135
6.86	5142	5157	-15	5142
6.88	5083	5165	-82	5149
6.9	5185	5172	13	5156
6.92	5192	5179	13	5163
6.94	5058	5186	-128	5170
6.96	5012	5192	-180	5177
6.98	5207	5199	8	5184
7.0	5267	5206	61	5191
7.02	5191	5213	-22	5198
7.04	5271	5219	52	5204
7.06	5223	5226	-3	5211
7.08	5068	5233	-165	5217
7.1	5268	5239	29	5224
7.12	5078	5246	-168	5230
7.14	5166	5252	-86	5237
7.16	5096	5258	-162	5243
7.18	5201	5264	-63	5249
7.2	5114	5271	-157	5255
7.22	5159	5277	-118	5262
7.24	5268	5283	-15	5268
7.26	5113	5289	-176	5274
7.28	5198	5295	-97	5279
7.3	5225	5300	-75	5285
7.32	5252	5306	-54	5291
7.34	5147	5312	-165	5297
7.36	5063	5318	-255	5302
7.38	5285	5323	-38	5308
7.4	5277	5329	-52	5313
7.42	5230	5334	-104	5319
7.44	5261	5339	-78	5324
7.46	5173	5345	-172	5330
7.48	5288	5350	-62	5335
7.5	5105	5355	-250	5340
7.52	5229	5360	-131	5345
7.54	5285	5365	-80	5350
7.56	5234	5370	-136	5355
7.58	5331	5375	-44	5360
7.6	5338	5380	-42	5365
7.62	5254	5384	-130	5369
7.64	5200	5389	-189	5374
7.66	5244	5394	-150	5378
