HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=26750/811, Cu(45kV,40mA), Wednesday, March 04, 2026, 7:32 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3217	3227	-10	3219
5.02	3298	3231	67	3222
5.04	3272	3234	38	3226
5.06	3217	3238	-21	3229
5.08	3131	3241	-110	3233
5.1	3217	3245	-28	3236
5.12	3322	3248	74	3240
5.14	3122	3252	-130	3243
5.16	3265	3255	10	3247
5.18	3171	3259	-88	3250
5.2	3254	3262	-8	3254
5.22	3194	3266	-72	3257
5.24	3207	3269	-62	3261
5.26	3209	3273	-64	3264
5.28	3322	3276	46	3268
5.3	3305	3279	26	3271
5.32	3260	3283	-23	3274
5.34	3180	3286	-106	3278
5.36	3330	3290	40	3281
5.38	3224	3293	-69	3285
5.4	3272	3297	-25	3288
5.42	3287	3300	-13	3292
5.44	3131	3304	-173	3295
5.46	3164	3307	-143	3299
5.48	3335	3311	24	3302
5.5	3251	3314	-63	3306
5.52	3242	3318	-76	3309
5.54	3240	3321	-81	3313
5.56	3232	3325	-93	3316
5.58	3147	3328	-181	3319
5.6	3232	3331	-99	3323
5.62	3305	3335	-30	3326
5.64	3155	3338	-183	3330
5.66	3249	3342	-93	3333
5.68	3246	3345	-99	3337
5.7	3272	3348	-76	3340
5.72	3165	3352	-187	3343
5.74	3344	3355	-11	3347
5.76	3289	3359	-70	3350
5.78	3233	3362	-129	3354
5.8	3305	3365	-60	3357
5.82	3210	3369	-159	3360
5.84	3245	3372	-127	3364
5.86	3224	3375	-151	3367
5.88	3270	3379	-109	3370
5.9	3201	3382	-181	3374
5.92	3325	3385	-60	3377
5.94	3258	3389	-131	3380
5.96	3313	3392	-79	3384
5.98	3328	3395	-67	3387
6.0	3320	3399	-79	3390
6.02	3321	3402	-81	3393
6.04	3380	3405	-25	3397
6.06	3253	3409	-156	3400
6.08	3267	3412	-145	3403
6.1	3322	3415	-93	3407
6.12	3232	3418	-186	3410
6.14	3318	3421	-103	3413
6.16	3377	3425	-48	3416
6.18	3335	3428	-93	3419
6.2	3341	3431	-90	3423
6.22	3274	3434	-160	3426
6.24	3383	3437	-54	3429
6.26	3368	3441	-73	3432
6.28	3340	3444	-104	3435
6.3	3360	3447	-87	3438
6.32	3363	3450	-87	3442
6.34	3342	3453	-111	3445
6.36	3394	3456	-62	3448
6.38	3477	3459	18	3451
6.4	3468	3463	5	3454
6.42	3457	3466	-9	3457
6.44	3398	3469	-71	3460
6.46	3301	3472	-171	3463
6.48	3386	3475	-89	3466
6.5	3479	3478	1	3469
6.52	3430	3481	-51	3472
6.54	3415	3484	-69	3475
6.56	3484	3487	-3	3478
6.58	3457	3490	-33	3481
6.6	3437	3493	-56	3484
6.62	3393	3496	-103	3487
6.64	3414	3499	-85	3490
6.66	3410	3502	-92	3493
6.68	3386	3504	-118	3496
6.7	3531	3507	24	3499
6.72	3473	3510	-37	3502
6.74	3419	3513	-94	3505
6.76	3452	3516	-64	3507
6.78	3447	3519	-72	3510
6.8	3436	3522	-86	3513
6.82	3562	3524	38	3516
6.84	3489	3527	-38	3519
6.86	3440	3530	-90	3521
6.88	3507	3533	-26	3524
6.9	3422	3535	-113	3527
6.92	3499	3538	-39	3530
6.94	3536	3541	-5	3532
6.96	3524	3544	-20	3535
6.98	3489	3546	-57	3538
7.0	3501	3549	-48	3540
7.02	3471	3551	-80	3543
7.04	3494	3554	-60	3546
7.06	3497	3557	-60	3548
7.08	3678	3559	119	3551
7.1	3496	3562	-66	3553
7.12	3482	3564	-82	3556
7.14	3485	3567	-82	3558
7.16	3452	3569	-117	3561
7.18	3568	3572	-4	3563
7.2	3592	3574	18	3566
7.22	3497	3577	-80	3568
7.24	3476	3579	-103	3571
7.26	3587	3582	5	3573
7.28	3589	3584	5	3576
7.3	3589	3586	3	3578
7.32	3594	3589	5	3580
7.34	3488	3591	-103	3583
7.36	3514	3593	-79	3585
7.38	3530	3596	-66	3587
7.4	3665	3598	67	3590
7.42	3575	3600	-25	3592
7.44	3641	3603	38	3594
7.46	3645	3605	40	3596
7.48	3539	3607	-68	3598
7.5	3561	3609	-48	3601
7.52	3537	3611	-74	3603
7.54	3608	3613	-5	3605
7.56	3474	3616	-142	3607
7.58	3632	3618	14	3609
7.6	3600	3620	-20	3611
7.62	3559	3622	-63	3613
7.64	3565	3624	-59	3615
7.66	3689	3626	63	3617
7.68	3626	3628	-2	3619
7.7	3512	3630	-118	3621
7.72	3745	3632	113	3623
7.74	3674	3633	41	3625
7.76	3545	3635	-90	3627
7.78	3706	3637	69	3629
7.8	3646	3639	7	3631
7.82	3682	3641	41	3632
7.84	3630	3643	-13	3634
7.86	3712	3644	68	3636
7.88	3689	3646	43	3638
7.9	3756	3648	108	3639
7.92	3706	3649	57	3641
7.94	3555	3651	-96	3643
7.96	3698	3653	45	3644
7.98	3616	3654	-38	3646
8.0	3615	3656	-41	3648
8.02	3667	3658	9	3649
8.04	3651	3659	-8	3651
8.06	3597	3661	-64	3652
8.08	3557	3662	-105	3654
8.1	3702	3664	38	3655
8.12	3554	3665	-111	3657
8.14	3606	3667	-61	3658
8.16	3611	3668	-57	3660
8.18	3680	3670	10	3662
8.2	3688	3672	16	3663
8.22	3815	3673	142	3665
8.24	3659	3675	-16	3666
8.26	3708	3677	31	3668
8.28	3650	3678	-28	3670
8.3	3778	3680	98	3672
8.32	3616	3682	-66	3673
8.34	3636	3684	-48	3675
8.36	3630	3685	-55	3677
8.38	3591	3687	-96	3679
8.4	3778	3689	89	3681
8.42	3853	3691	162	3683
8.44	3655	3693	-38	3685
8.46	3807	3695	112	3687
8.48	3665	3698	-33	3689
8.5	3661	3700	-39	3691
8.52	3664	3702	-38	3694
8.54	3745	3705	40	3696
8.56	3692	3707	-15	3699
8.58	3795	3710	85	3701
8.6	3803	3712	91	3704
8.62	3679	3715	-36	3706
8.64	3794	3718	76	3709
8.66	3682	3721	-39	3712
8.68	3737	3724	13	3715
8.7	3794	3727	67	3718
8.72	3829	3730	99	3721
8.74	3850	3733	117	3725
8.76	3735	3737	-2	3728
8.78	3713	3740	-27	3732
8.8	3617	3744	-127	3735
8.82	3789	3748	41	3739
8.84	3719	3752	-33	3743
8.86	3771	3756	15	3747
8.88	3773	3760	13	3751
8.9	3786	3764	22	3756
8.92	3787	3768	19	3760
8.94	3793	3773	20	3765
8.96	3829	3778	51	3769
8.98	3824	3783	41	3774
9.0	3803	3788	15	3779
9.02	3867	3793	74	3784
9.04	3817	3798	19	3790
9.06	3807	3804	3	3795
9.08	3751	3809	-58	3801
9.1	3803	3815	-12	3807
9.12	3747	3821	-74	3813
9.14	3944	3827	117	3819
9.16	3801	3834	-33	3825
9.18	3895	3840	55	3832
9.2	3920	3847	73	3839
9.22	3974	3854	120	3845
9.24	3852	3861	-9	3853
9.26	3879	3868	11	3860
9.28	3903	3876	27	3867
9.3	3941	3884	57	3875
9.32	3840	3892	-52	3883
9.34	3872	3900	-28	3891
9.36	3893	3908	-15	3900
9.38	3895	3917	-22	3908
9.4	3949	3925	24	3917
9.42	3900	3934	-34	3926
9.44	3942	3944	-2	3935
9.46	3935	3953	-18	3945
9.48	4064	3963	101	3954
9.5	4025	3973	52	3964
9.52	4008	3983	25	3974
9.54	4047	3993	54	3985
9.56	4032	4004	28	3995
9.58	3958	4015	-57	4006
9.6	4001	4026	-25	4018
9.62	3997	4037	-40	4029
9.64	4093	4049	44	4041
9.66	4083	4061	22	4053
9.68	4112	4073	39	4065
9.7	4082	4086	-4	4077
9.72	4129	4099	30	4090
9.74	4164	4112	52	4103
9.76	4173	4125	48	4116
9.78	4259	4139	120	4130
9.8	4052	4152	-100	4144
9.82	4210	4167	43	4158
9.84	4167	4181	-14	4173
9.86	4239	4196	43	4187
9.88	4262	4211	51	4203
9.9	4245	4226	19	4218
9.92	4313	4242	71	4234
9.94	4255	4258	-3	4250
9.96	4254	4274	-20	4266
9.98	4247	4291	-44	4283
10.0	4208	4308	-100	4300
10.02	4396	4325	71	4317
10.04	4362	4343	19	4334
10.06	4400	4361	39	4352
10.08	4376	4379	-3	4371
10.1	4431	4398	33	4389
10.12	4478	4417	61	4408
10.14	4445	4436	9	4428
10.16	4572	4456	116	4447
10.18	4423	4476	-53	4467
10.2	4617	4496	121	4488
10.22	4641	4517	124	4508
10.24	4680	4538	142	4530
10.26	4596	4560	36	4551
10.28	4609	4581	28	4573
10.3	4642	4604	38	4595
10.32	4746	4626	120	4618
10.34	4763	4649	114	4641
10.36	4823	4672	151	4664
10.38	4686	4696	-10	4688
10.4	4714	4720	-6	4712
10.42	4829	4744	85	4736
10.44	4837	4769	68	4761
10.46	4894	4794	100	4785
10.48	4934	4819	115	4811
10.5	4934	4844	90	4836
10.52	4976	4870	106	4862
10.54	5023	4896	127	4887
10.56	5007	4922	85	4913
10.58	5024	4948	76	4940
10.6	4969	4974	-5	4966
10.62	5256	5001	255	4992
10.64	5144	5027	117	5019
10.66	5209	5054	155	5045
10.68	5230	5081	149	5072
10.7	5131	5107	24	5099
10.72	5185	5134	51	5126
10.74	5318	5161	157	5153
10.76	5177	5188	-11	5180
10.78	5225	5215	10	5206
10.8	5378	5242	136	5233
10.82	5444	5268	176	5260
10.84	5461	5295	166	5287
10.86	5396	5322	74	5313
10.88	5422	5348	74	5340
10.9	5579	5375	204	5366
10.92	5463	5401	62	5393
10.94	5566	5427	139	5419
10.96	5584	5453	131	5445
10.98	5668	5479	189	5470
11.0	5530	5505	25	5496
11.02	5671	5530	141	5521
11.04	5783	5555	228	5546
11.06	5790	5580	210	5571
11.08	5692	5604	88	5596
11.1	5872	5629	243	5620
11.12	5659	5653	6	5644
11.14	5788	5676	112	5668
11.16	5798	5699	99	5691
11.18	5773	5722	51	5714
11.2	5895	5745	150	5736
11.22	5952	5767	185	5759
11.24	6045	5789	256	5780
11.26	5878	5810	68	5801
11.28	6012	5831	181	5822
11.3	5974	5851	123	5843
11.32	6013	5871	142	5862
11.34	5964	5890	74	5882
11.36	5961	5909	52	5901
11.38	6122	5927	195	5919
11.4	6024	5945	79	5937
11.42	6171	5962	209	5954
11.44	6139	5979	160	5970
11.46	6202	5995	207	5986
11.48	6174	6010	164	6001
11.5	6124	6024	100	6016
11.52	6257	6038	219	6030
11.54	6110	6052	58	6043
11.56	6241	6064	177	6056
11.58	6210	6076	134	6068
11.6	6317	6087	230	6079
11.62	6285	6098	187	6089
11.64	6359	6107	252	6099
11.66	6207	6116	91	6107
11.68	6081	6124	-43	6115
11.7	6241	6131	110	6122
11.72	6249	6137	112	6129
11.74	6233	6143	90	6134
11.76	6325	6147	178	6139
11.78	6222	6151	71	6142
11.8	6148	6153	-5	6145
11.82	6210	6155	55	6147
11.84	6292	6156	136	6148
11.86	6224	6156	68	6147
11.88	6141	6155	-14	6146
11.9	6254	6153	101	6144
11.92	6219	6150	69	6141
11.94	6383	6146	237	6138
