HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=13032/899, Cu(45kV,40mA), Tuesday, March 31, 2026, 1:20 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3452	3489	-37	3479
5.02	3531	3493	38	3483
5.04	3556	3497	59	3487
5.06	3457	3501	-44	3492
5.08	3447	3506	-59	3496
5.1	3530	3510	20	3500
5.12	3559	3514	45	3505
5.14	3593	3519	74	3509
5.16	3498	3523	-25	3513
5.18	3586	3527	59	3518
5.2	3569	3532	37	3522
5.22	3466	3536	-70	3526
5.24	3643	3540	103	3530
5.26	3559	3545	14	3535
5.28	3462	3549	-87	3539
5.3	3546	3553	-7	3544
5.32	3492	3558	-66	3548
5.34	3595	3562	33	3552
5.36	3491	3566	-75	3557
5.38	3580	3571	9	3561
5.4	3586	3575	11	3566
5.42	3529	3580	-51	3570
5.44	3651	3584	67	3574
5.46	3503	3589	-86	3579
5.48	3529	3593	-64	3583
5.5	3517	3598	-81	3588
5.52	3595	3602	-7	3592
5.54	3525	3607	-82	3597
5.56	3562	3611	-49	3602
5.58	3600	3616	-16	3606
5.6	3619	3620	-1	3611
5.62	3598	3625	-27	3615
5.64	3702	3630	72	3620
5.66	3599	3634	-35	3625
5.68	3645	3639	6	3629
5.7	3687	3644	43	3634
5.72	3663	3648	15	3639
5.74	3518	3653	-135	3644
5.76	3614	3658	-44	3648
5.78	3716	3663	53	3653
5.8	3720	3668	52	3658
5.82	3604	3673	-69	3663
5.84	3711	3678	33	3668
5.86	3628	3682	-54	3673
5.88	3682	3687	-5	3678
5.9	3685	3692	-7	3683
5.92	3653	3698	-45	3688
5.94	3745	3703	42	3693
5.96	3749	3708	41	3698
5.98	3721	3713	8	3703
6.0	3757	3718	39	3708
6.02	3837	3723	114	3714
6.04	3707	3728	-21	3719
6.06	3754	3734	20	3724
6.08	3640	3739	-99	3729
6.1	3835	3744	91	3735
6.12	3784	3750	34	3740
6.14	3658	3755	-97	3746
6.16	3835	3761	74	3751
6.18	3779	3766	13	3757
6.2	3859	3772	87	3762
6.22	3751	3778	-27	3768
6.24	3758	3783	-25	3774
6.26	3709	3789	-80	3779
6.28	3647	3795	-148	3785
6.3	3747	3801	-54	3791
6.32	3783	3806	-23	3797
6.34	3856	3812	44	3803
6.36	3824	3818	6	3808
6.38	3899	3824	75	3814
6.4	3858	3830	28	3821
6.42	3898	3836	62	3827
6.44	3921	3843	78	3833
6.46	3880	3849	31	3839
6.48	3731	3855	-124	3845
6.5	3917	3861	56	3852
6.52	3972	3868	104	3858
6.54	3903	3874	29	3864
6.56	3925	3881	44	3871
6.58	3891	3887	4	3877
6.6	3961	3894	67	3884
6.62	3805	3900	-95	3891
6.64	4000	3907	93	3897
6.66	3978	3914	64	3904
6.68	3971	3921	50	3911
6.7	3919	3928	-9	3918
6.72	3958	3935	23	3925
6.74	3977	3942	35	3932
6.76	4032	3949	83	3939
6.78	4034	3956	78	3946
6.8	3980	3963	17	3953
6.82	3996	3970	26	3961
6.84	3950	3978	-28	3968
6.86	4032	3985	47	3975
6.88	4060	3992	68	3983
6.9	4049	4000	49	3990
6.92	4023	4008	15	3998
6.94	4046	4015	31	4006
6.96	4071	4023	48	4013
6.98	4063	4031	32	4021
7.0	3970	4039	-69	4029
7.02	4172	4047	125	4037
7.04	3976	4055	-79	4045
7.06	4110	4063	47	4053
7.08	4200	4071	129	4061
7.1	4067	4079	-12	4070
7.12	4153	4088	65	4078
7.14	4195	4096	99	4087
7.16	4145	4105	40	4095
7.18	4204	4113	91	4104
7.2	4215	4122	93	4112
7.22	4096	4131	-35	4121
7.24	4122	4140	-18	4130
7.26	4248	4149	99	4139
7.28	4185	4158	27	4148
7.3	4220	4167	53	4157
7.32	4184	4176	8	4166
7.34	4229	4185	44	4175
7.36	4098	4194	-96	4185
7.38	4268	4204	64	4194
7.4	4251	4213	38	4204
7.42	4260	4223	37	4213
7.44	4172	4233	-61	4223
7.46	4145	4243	-98	4233
7.48	4200	4253	-53	4243
7.5	4297	4263	34	4253
7.52	4277	4273	4	4263
7.54	4245	4283	-38	4273
7.56	4304	4293	11	4283
7.58	4261	4304	-43	4294
7.6	4319	4314	5	4304
7.62	4434	4325	109	4315
7.64	4381	4335	46	4326
7.66	4216	4346	-130	4336
7.68	4377	4357	20	4347
7.7	4422	4368	54	4358
7.72	4411	4379	32	4369
7.74	4383	4390	-7	4381
7.76	4425	4402	23	4392
7.78	4476	4413	63	4403
7.8	4424	4425	-1	4415
7.82	4410	4436	-26	4427
7.84	4434	4448	-14	4438
7.86	4438	4460	-22	4450
7.88	4469	4472	-3	4462
7.9	4453	4484	-31	4474
7.92	4472	4496	-24	4486
7.94	4429	4509	-80	4499
7.96	4499	4521	-22	4511
7.98	4375	4534	-159	4524
8.0	4575	4546	29	4536
8.02	4610	4559	51	4549
8.04	4569	4572	-3	4562
8.06	4549	4585	-36	4575
8.08	4634	4598	36	4588
8.1	4617	4611	6	4602
8.12	4736	4625	111	4615
8.14	4657	4638	19	4629
8.16	4721	4652	69	4642
8.18	4530	4666	-136	4656
8.2	4657	4680	-23	4670
8.22	4677	4694	-17	4684
8.24	4584	4708	-124	4698
8.26	4560	4722	-162	4712
8.28	4786	4736	50	4727
8.3	4801	4751	50	4741
8.32	4629	4766	-137	4756
8.34	4707	4780	-73	4771
8.36	4691	4795	-104	4786
8.38	4759	4810	-51	4801
8.4	4759	4826	-67	4816
8.42	4712	4841	-129	4831
8.44	4736	4857	-121	4847
8.46	4837	4872	-35	4862
8.48	4746	4888	-142	4878
8.5	4896	4904	-8	4894
8.52	4806	4920	-114	4910
8.54	4867	4936	-69	4926
8.56	4945	4952	-7	4943
8.58	4817	4969	-152	4959
8.6	4912	4985	-73	4976
8.62	4904	5002	-98	4993
8.64	4929	5019	-90	5010
8.66	5006	5036	-30	5027
8.68	5125	5054	71	5044
8.7	4926	5071	-145	5062
8.72	5158	5089	69	5080
8.74	5036	5107	-71	5098
8.76	5022	5126	-104	5116
8.78	4994	5145	-151	5135
8.8	5082	5164	-82	5154
8.82	4954	5183	-229	5173
8.84	5248	5203	45	5193
8.86	5122	5223	-101	5213
8.88	5158	5243	-85	5233
8.9	5285	5264	21	5254
8.92	5131	5285	-154	5276
8.94	5154	5307	-153	5297
8.96	5392	5329	63	5319
8.98	5285	5352	-67	5342
9.0	5313	5375	-62	5365
9.02	5287	5399	-112	5389
9.04	5341	5423	-82	5413
9.06	5388	5447	-59	5438
9.08	5440	5472	-32	5463
9.1	5517	5498	19	5489
9.12	5528	5525	3	5515
9.14	5485	5552	-67	5542
9.16	5656	5579	77	5569
9.18	5575	5607	-32	5598
9.2	5589	5636	-47	5626
9.22	5612	5666	-54	5656
9.24	5622	5696	-74	5686
9.26	5578	5727	-149	5717
9.28	5626	5758	-132	5749
9.3	5692	5791	-99	5781
9.32	5654	5824	-170	5814
9.34	5872	5858	14	5848
9.36	5673	5892	-219	5882
9.38	5919	5928	-9	5918
9.4	5862	5964	-102	5954
9.42	5996	6001	-5	5991
9.44	6134	6039	95	6029
9.46	5943	6078	-135	6068
9.48	6003	6117	-114	6108
9.5	6024	6158	-134	6148
9.52	5981	6199	-218	6190
9.54	6161	6242	-81	6232
9.56	6185	6285	-100	6275
9.58	6132	6329	-197	6320
9.6	6073	6375	-302	6365
9.62	6242	6421	-179	6411
9.64	6193	6468	-275	6459
9.66	6466	6517	-51	6507
9.68	6325	6566	-241	6556
9.7	6415	6617	-202	6607
9.72	6598	6668	-70	6658
9.74	6514	6721	-207	6711
9.76	6696	6775	-79	6765
9.78	6741	6829	-88	6820
9.8	6732	6885	-153	6876
9.82	6747	6943	-196	6933
9.84	6751	7001	-250	6991
9.86	6779	7061	-282	7051
9.88	6823	7121	-298	7112
9.9	6898	7183	-285	7174
9.92	6995	7247	-252	7237
9.94	7043	7311	-268	7301
9.96	7029	7377	-348	7367
9.98	7165	7444	-279	7434
10.0	7123	7512	-389	7502
10.02	7298	7581	-283	7571
10.04	7478	7651	-173	7642
10.06	7284	7723	-439	7713
10.08	7515	7795	-280	7785
10.1	7541	7868	-327	7859
10.12	7534	7942	-408	7933
10.14	7572	8017	-445	8008
10.16	7653	8093	-440	8083
10.18	7808	8170	-362	8160
10.2	7699	8247	-548	8237
10.22	7971	8325	-354	8315
10.24	7966	8403	-437	8394
10.26	8144	8482	-338	8473
10.28	8091	8562	-471	8552
10.3	8059	8642	-583	8633
10.32	8305	8723	-418	8713
10.34	8319	8804	-485	8794
10.36	8544	8886	-342	8876
10.38	8395	8968	-573	8958
10.4	8532	9050	-518	9040
10.42	8677	9132	-455	9122
10.44	8709	9215	-506	9205
10.46	8883	9297	-414	9288
10.48	8783	9380	-597	9371
10.5	8939	9463	-524	9454
10.52	9200	9546	-346	9537
10.54	9045	9629	-584	9620
10.56	9185	9712	-527	9703
10.58	9158	9795	-637	9786
10.6	9363	9878	-515	9868
10.62	9577	9961	-384	9951
10.64	9501	10043	-542	10033
10.66	9614	10125	-511	10115
10.68	9553	10207	-654	10197
10.7	9886	10289	-403	10279
10.72	10110	10370	-260	10360
10.74	9922	10450	-528	10441
10.76	9923	10531	-608	10521
10.78	10154	10610	-456	10601
10.8	10236	10689	-453	10680
10.82	10310	10768	-458	10758
10.84	10079	10846	-767	10836
10.86	10514	10923	-409	10913
10.88	10405	11000	-595	10990
10.9	10744	11075	-331	11066
10.92	10540	11150	-610	11141
10.94	10763	11225	-462	11215
10.96	10837	11298	-461	11288
10.98	11163	11370	-207	11360
11.0	11102	11441	-339	11432
11.02	11048	11512	-464	11502
11.04	11331	11581	-250	11571
11.06	11314	11649	-335	11639
11.08	11276	11716	-440	11706
11.1	11462	11782	-320	11772
11.12	11688	11846	-158	11836
11.14	11527	11909	-382	11900
11.16	11592	11971	-379	11962
11.18	11549	12032	-483	12022
11.2	11824	12091	-267	12081
11.22	11797	12149	-352	12139
11.24	11738	12205	-467	12195
11.26	12008	12260	-252	12250
11.28	11885	12313	-428	12303
11.3	12179	12365	-186	12355
11.32	12100	12414	-314	12405
11.34	12303	12463	-160	12453
11.36	12524	12509	15	12499
11.38	12151	12554	-403	12544
11.4	12313	12596	-283	12587
11.42	12491	12637	-146	12628
11.44	12528	12676	-148	12667
11.46	12685	12714	-29	12704
11.48	12332	12749	-417	12739
11.5	12633	12782	-149	12772
11.52	12600	12813	-213	12803
11.54	12749	12841	-92	12832
11.56	12759	12868	-109	12858
11.58	12793	12892	-99	12883
11.6	12818	12915	-97	12905
11.62	12812	12935	-123	12925
11.64	12878	12952	-74	12943
11.66	12630	12968	-338	12958
11.68	12757	12981	-224	12971
11.7	12870	12992	-122	12982
11.72	13032	13001	31	12992
11.74	12706	13008	-302	12998
11.76	12761	13013	-252	13003
11.78	12845	13016	-171	13006
11.8	12813	13017	-204	13007
11.82	12952	13016	-64	13006
11.84	12876	13013	-137	13003
11.86	12922	13008	-86	12998
11.88	12806	13001	-195	12991
11.9	12806	12992	-186	12982
