HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=21799/203, Cu(45kV,40mA), Tuesday, March 31, 2026, 12:21 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3395	3432	-37	3425
5.02	3411	3436	-25	3430
5.04	3499	3441	58	3434
5.06	3453	3445	8	3439
5.08	3401	3449	-48	3443
5.1	3397	3454	-57	3447
5.12	3486	3458	28	3452
5.14	3425	3463	-38	3456
5.16	3465	3467	-2	3460
5.18	3420	3471	-51	3465
5.2	3443	3476	-33	3469
5.22	3369	3480	-111	3473
5.24	3477	3484	-7	3478
5.26	3467	3489	-22	3482
5.28	3440	3493	-53	3486
5.3	3437	3497	-60	3491
5.32	3424	3501	-77	3495
5.34	3516	3506	10	3499
5.36	3362	3510	-148	3504
5.38	3476	3514	-38	3508
5.4	3556	3518	38	3512
5.42	3455	3523	-68	3516
5.44	3425	3527	-102	3520
5.46	3387	3531	-144	3524
5.48	3531	3535	-4	3529
5.5	3507	3539	-32	3533
5.52	3638	3543	95	3537
5.54	3428	3547	-119	3541
5.56	3455	3551	-96	3545
5.58	3542	3555	-13	3549
5.6	3578	3559	19	3553
5.62	3582	3563	19	3557
5.64	3630	3567	63	3561
5.66	3582	3571	11	3564
5.68	3554	3575	-21	3568
5.7	3512	3579	-67	3572
5.72	3529	3582	-53	3576
5.74	3555	3586	-31	3580
5.76	3491	3590	-99	3583
5.78	3539	3593	-54	3587
5.8	3522	3597	-75	3591
5.82	3579	3601	-22	3594
5.84	3501	3604	-103	3598
5.86	3439	3608	-169	3601
5.88	3679	3611	68	3605
5.9	3641	3615	26	3608
5.92	3521	3618	-97	3611
5.94	3607	3621	-14	3615
5.96	3597	3624	-27	3618
5.98	3673	3628	45	3621
6.0	3692	3631	61	3624
6.02	3561	3634	-73	3628
6.04	3562	3637	-75	3631
6.06	3613	3640	-27	3634
6.08	3691	3643	48	3637
6.1	3729	3646	83	3639
6.12	3536	3649	-113	3642
6.14	3670	3652	18	3645
6.16	3708	3654	54	3648
6.18	3594	3657	-63	3651
6.2	3690	3660	30	3653
6.22	3671	3662	9	3656
6.24	3616	3665	-49	3658
6.26	3798	3667	131	3661
6.28	3703	3670	33	3663
6.3	3721	3672	49	3665
6.32	3727	3674	53	3668
6.34	3834	3676	158	3670
6.36	3660	3678	-18	3672
6.38	3645	3680	-35	3674
6.4	3655	3682	-27	3676
6.42	3659	3684	-25	3678
6.44	3714	3686	28	3680
6.46	3687	3688	-1	3681
6.48	3791	3690	101	3683
6.5	3703	3691	12	3685
6.52	3689	3693	-4	3686
6.54	3807	3694	113	3688
6.56	3732	3696	36	3689
6.58	3716	3697	19	3691
6.6	3715	3698	17	3692
6.62	3696	3699	-3	3693
6.64	3707	3700	7	3694
6.66	3654	3701	-47	3695
6.68	3750	3702	48	3696
6.7	3776	3703	73	3697
6.72	3764	3704	60	3697
6.74	3703	3705	-2	3698
6.76	3704	3705	-1	3699
6.78	3833	3706	127	3699
6.8	3756	3706	50	3700
6.82	3650	3706	-56	3700
6.84	3776	3707	69	3700
6.86	3767	3707	60	3701
6.88	3751	3707	44	3701
6.9	3707	3707	0	3701
6.92	3795	3707	88	3701
6.94	3728	3707	21	3701
6.96	3744	3707	37	3701
6.98	3704	3707	-3	3701
7.0	3848	3707	141	3700
7.02	3756	3707	49	3700
7.04	3772	3706	66	3700
7.06	3678	3706	-28	3700
7.08	3698	3706	-8	3699
7.1	3682	3705	-23	3699
7.12	3624	3705	-81	3698
7.14	3791	3704	87	3698
7.16	3738	3704	34	3697
7.18	3658	3703	-45	3697
7.2	3718	3702	16	3696
7.22	3620	3702	-82	3695
7.24	3734	3701	33	3694
7.26	3696	3700	-4	3694
7.28	3817	3699	118	3693
7.3	3822	3699	123	3692
7.32	3703	3698	5	3691
7.34	3733	3697	36	3690
7.36	3733	3696	37	3690
7.38	3727	3695	32	3689
7.4	3710	3694	16	3688
7.42	3738	3693	45	3687
7.44	3721	3692	29	3686
7.46	3682	3691	-9	3685
7.48	3689	3690	-1	3684
7.5	3742	3690	52	3683
7.52	3773	3689	84	3682
7.54	3666	3688	-22	3681
7.56	3701	3687	14	3680
7.58	3635	3686	-51	3679
7.6	3745	3685	60	3678
7.62	3732	3684	48	3677
7.64	3614	3683	-69	3676
7.66	3730	3682	48	3675
7.68	3577	3681	-104	3674
7.7	3711	3680	31	3673
7.72	3836	3679	157	3672
7.74	3641	3678	-37	3671
7.76	3571	3677	-106	3670
7.78	3642	3676	-34	3669
7.8	3702	3675	27	3668
7.82	3745	3674	71	3668
7.84	3593	3673	-80	3667
7.86	3642	3672	-30	3666
7.88	3683	3672	11	3665
7.9	3640	3671	-31	3664
7.92	3718	3670	48	3664
7.94	3670	3669	1	3663
7.96	3699	3669	30	3662
7.98	3616	3668	-52	3661
8.0	3745	3667	78	3661
8.02	3706	3667	39	3660
8.04	3695	3666	29	3660
8.06	3763	3666	97	3659
8.08	3541	3665	-124	3659
8.1	3705	3665	40	3658
8.12	3622	3664	-42	3658
8.14	3602	3664	-62	3658
8.16	3740	3664	76	3657
8.18	3705	3664	41	3657
8.2	3745	3663	82	3657
8.22	3703	3663	40	3657
8.24	3643	3663	-20	3657
8.26	3670	3663	7	3657
8.28	3703	3664	39	3657
8.3	3824	3664	160	3657
8.32	3622	3664	-42	3658
8.34	3715	3664	51	3658
8.36	3645	3665	-20	3658
8.38	3738	3665	73	3659
8.4	3771	3666	105	3660
8.42	3748	3667	81	3660
8.44	3613	3668	-55	3661
8.46	3704	3669	35	3662
8.48	3740	3670	70	3663
8.5	3640	3671	-31	3664
8.52	3690	3672	18	3665
8.54	3813	3673	140	3667
8.56	3777	3675	102	3668
8.58	3809	3676	133	3670
8.6	3667	3678	-11	3672
8.62	3804	3680	124	3673
8.64	3814	3682	132	3675
8.66	3745	3684	61	3678
8.68	3775	3686	89	3680
8.7	3676	3689	-13	3682
8.72	3864	3691	173	3685
8.74	3711	3694	17	3687
8.76	3843	3697	146	3690
8.78	3859	3700	159	3693
8.8	3687	3703	-16	3696
8.82	3798	3706	92	3699
8.84	3842	3709	133	3703
8.86	3829	3713	116	3706
8.88	3835	3717	118	3710
8.9	3816	3721	95	3714
8.92	3747	3725	22	3718
8.94	3945	3729	216	3723
8.96	3844	3733	111	3727
8.98	3770	3738	32	3732
9.0	3710	3743	-33	3736
9.02	3778	3748	30	3741
9.04	3841	3753	88	3747
9.06	3872	3758	114	3752
9.08	3877	3764	113	3758
9.1	3830	3770	60	3763
9.12	3952	3776	176	3769
9.14	3917	3782	135	3776
9.16	3845	3788	57	3782
9.18	3839	3795	44	3789
9.2	3820	3802	18	3795
9.22	3866	3809	57	3802
9.24	3900	3816	84	3810
9.26	4043	3824	219	3817
9.28	3972	3831	141	3825
9.3	3952	3839	113	3833
9.32	3885	3848	37	3841
9.34	3980	3856	124	3849
9.36	3908	3865	43	3858
9.38	3909	3874	35	3867
9.4	3931	3883	48	3876
9.42	3985	3892	93	3886
