HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=16473/314, Cu(45kV,40mA), Thursday, April 09, 2026, 9:35 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3090	3125	-35	3125
5.02	3135	3130	5	3130
5.04	3124	3135	-11	3135
5.06	3223	3139	84	3139
5.08	3053	3144	-91	3144
5.1	3090	3149	-59	3149
5.12	3189	3154	35	3154
5.14	3201	3159	42	3159
5.16	3240	3163	77	3163
5.18	3157	3168	-11	3168
5.2	3180	3173	7	3173
5.22	3134	3178	-44	3178
5.24	3172	3183	-11	3183
5.26	3144	3187	-43	3187
5.28	3153	3192	-39	3192
5.3	3237	3197	40	3197
5.32	3143	3201	-58	3201
5.34	3198	3206	-8	3206
5.36	3158	3211	-53	3211
5.38	3219	3215	4	3215
5.4	3199	3220	-21	3220
5.42	3193	3225	-32	3225
5.44	3306	3229	77	3229
5.46	3190	3234	-44	3234
5.48	3311	3238	73	3238
5.5	3255	3243	12	3243
5.52	3244	3247	-3	3247
5.54	3248	3252	-4	3252
5.56	3208	3256	-48	3256
5.58	3304	3261	43	3261
5.6	3216	3265	-49	3265
5.62	3282	3270	12	3270
5.64	3325	3274	51	3274
5.66	3262	3278	-16	3278
5.68	3278	3283	-5	3283
5.7	3308	3287	21	3287
5.72	3153	3291	-138	3291
5.74	3361	3295	66	3295
5.76	3195	3300	-105	3300
5.78	3328	3304	24	3304
5.8	3390	3308	82	3308
5.82	3423	3312	111	3312
5.84	3294	3316	-22	3316
5.86	3309	3320	-11	3320
5.88	3329	3324	5	3324
5.9	3235	3328	-93	3328
5.92	3474	3332	142	3332
5.94	3317	3335	-18	3335
5.96	3406	3339	67	3339
5.98	3380	3343	37	3343
6.0	3281	3347	-66	3347
6.02	3314	3350	-36	3350
6.04	3384	3354	30	3354
6.06	3324	3357	-33	3357
6.08	3492	3361	131	3361
6.1	3441	3364	77	3364
6.12	3296	3368	-72	3368
6.14	3364	3371	-7	3371
6.16	3497	3374	123	3374
6.18	3429	3378	51	3378
6.2	3317	3381	-64	3381
6.22	3428	3384	44	3384
6.24	3440	3387	53	3387
6.26	3409	3390	19	3390
6.28	3501	3393	108	3393
6.3	3434	3396	38	3396
6.32	3403	3399	4	3399
6.34	3467	3401	66	3401
6.36	3398	3404	-6	3404
6.38	3285	3407	-122	3407
6.4	3521	3409	112	3409
6.42	3396	3412	-16	3412
6.44	3387	3414	-27	3414
6.46	3461	3417	44	3417
6.48	3461	3419	42	3419
6.5	3407	3421	-14	3421
6.52	3474	3424	50	3424
6.54	3586	3426	160	3426
6.56	3489	3428	61	3428
6.58	3402	3430	-28	3430
6.6	3551	3432	119	3432
6.62	3527	3433	94	3433
6.64	3454	3435	19	3435
6.66	3498	3437	61	3437
6.68	3518	3438	80	3438
6.7	3366	3440	-74	3440
6.72	3486	3441	45	3441
6.74	3568	3443	125	3443
6.76	3562	3444	118	3444
6.78	3347	3445	-98	3445
6.8	3544	3446	98	3446
6.82	3588	3447	141	3447
6.84	3568	3448	120	3448
6.86	3558	3449	109	3449
6.88	3487	3450	37	3450
6.9	3512	3451	61	3451
6.92	3522	3451	71	3451
6.94	3539	3452	87	3452
6.96	3464	3452	12	3452
6.98	3569	3453	116	3453
7.0	3501	3453	48	3453
7.02	3479	3453	26	3453
7.04	3507	3453	54	3453
7.06	3461	3453	8	3453
7.08	3497	3453	44	3453
7.1	3521	3453	68	3453
7.12	3445	3453	-8	3453
7.14	3507	3453	54	3453
7.16	3543	3453	90	3453
7.18	3487	3452	35	3452
7.2	3602	3452	150	3452
7.22	3452	3451	1	3451
7.24	3457	3451	6	3451
7.26	3494	3450	44	3450
7.28	3435	3450	-15	3450
7.3	3479	3449	30	3449
7.32	3363	3448	-85	3448
7.34	3503	3448	55	3448
7.36	3380	3447	-67	3447
7.38	3506	3446	60	3446
7.4	3471	3445	26	3445
7.42	3430	3444	-14	3444
7.44	3456	3443	13	3443
7.46	3389	3442	-53	3442
7.48	3453	3441	12	3441
7.5	3442	3440	2	3440
7.52	3468	3439	29	3439
7.54	3473	3438	35	3438
7.56	3443	3437	6	3437
7.58	3485	3436	49	3436
7.6	3355	3435	-80	3435
7.62	3380	3434	-54	3434
7.64	3497	3433	64	3433
7.66	3452	3431	21	3431
7.68	3430	3430	0	3430
7.7	3398	3429	-31	3429
7.72	3611	3428	183	3428
7.74	3446	3427	19	3427
7.76	3500	3425	75	3425
7.78	3396	3424	-28	3424
7.8	3477	3423	54	3423
7.82	3486	3422	64	3422
7.84	3440	3421	19	3421
7.86	3395	3420	-25	3420
7.88	3636	3418	218	3418
7.9	3468	3417	51	3417
7.92	3446	3416	30	3416
7.94	3442	3415	27	3415
7.96	3442	3414	28	3414
7.98	3464	3413	51	3413
8.0	3576	3412	164	3412
8.02	3507	3411	96	3411
8.04	3394	3410	-16	3410
8.06	3557	3409	148	3409
8.08	3431	3408	23	3408
8.1	3510	3407	103	3407
8.12	3346	3407	-61	3407
8.14	3539	3406	133	3406
8.16	3397	3405	-8	3405
8.18	3441	3404	37	3404
8.2	3428	3404	24	3404
8.22	3528	3403	125	3403
8.24	3442	3403	39	3403
8.26	3432	3402	30	3402
8.28	3481	3402	79	3402
8.3	3444	3401	43	3401
8.32	3533	3401	132	3401
8.34	3429	3401	28	3401
8.36	3304	3401	-97	3401
8.38	3459	3401	58	3401
8.4	3379	3400	-21	3400
8.42	3354	3400	-46	3400
8.44	3410	3401	9	3401
8.46	3461	3401	60	3401
8.48	3467	3401	66	3401
8.5	3436	3401	35	3401
8.52	3533	3402	131	3402
8.54	3554	3402	152	3402
8.56	3487	3403	84	3403
8.58	3399	3403	-4	3403
8.6	3482	3404	78	3404
8.62	3481	3405	76	3405
8.64	3496	3406	90	3406
8.66	3534	3407	127	3407
8.68	3629	3408	221	3408
8.7	3485	3409	76	3409
8.72	3455	3411	44	3411
8.74	3539	3412	127	3412
8.76	3417	3414	3	3414
8.78	3566	3415	151	3415
8.8	3528	3417	111	3417
8.82	3503	3419	84	3419
8.84	3510	3421	89	3421
8.86	3488	3423	65	3423
8.88	3624	3425	199	3425
8.9	3577	3428	149	3428
8.92	3560	3430	130	3430
8.94	3418	3433	-15	3433
8.96	3533	3435	98	3435
8.98	3433	3438	-5	3438
9.0	3434	3441	-7	3441
9.02	3542	3444	98	3444
9.04	3419	3448	-29	3448
9.06	3487	3451	36	3451
9.08	3385	3455	-70	3455
9.1	3517	3458	59	3458
9.12	3511	3462	49	3462
9.14	3504	3466	38	3466
9.16	3511	3470	41	3470
9.18	3606	3474	132	3474
9.2	3587	3479	108	3479
9.22	3444	3483	-39	3483
9.24	3508	3488	20	3488
9.26	3565	3493	72	3493
9.28	3558	3498	60	3498
9.3	3450	3503	-53	3503
9.32	3446	3509	-63	3509
9.34	3526	3514	12	3514
9.36	3604	3520	84	3520
9.38	3548	3526	22	3526
9.4	3654	3532	122	3532
9.42	3604	3538	66	3538
9.44	3545	3545	0	3545
9.46	3545	3551	-6	3551
9.48	3562	3558	4	3558
9.5	3660	3565	95	3565
9.52	3479	3572	-93	3572
9.54	3594	3579	15	3579
9.56	3486	3587	-101	3587
9.58	3588	3595	-7	3595
9.6	3760	3603	157	3603
9.62	3563	3611	-48	3611
9.64	3644	3619	25	3619
9.66	3700	3628	72	3628
9.68	3481	3636	-155	3636
9.7	3717	3645	72	3645
9.72	3647	3654	-7	3654
9.74	3680	3664	16	3664
9.76	3686	3673	13	3673
9.78	3753	3683	70	3683
9.8	3702	3693	9	3693
9.82	3692	3703	-11	3703
9.84	3742	3714	28	3714
9.86	3699	3724	-25	3724
9.88	3821	3735	86	3735
9.9	3661	3746	-85	3746
9.92	3721	3758	-37	3758
9.94	3839	3769	70	3769
9.96	3799	3781	18	3781
9.98	3836	3793	43	3793
10.0	3867	3806	61	3805
10.02	3734	3818	-84	3818
10.04	3853	3831	22	3831
10.06	3765	3844	-79	3844
10.08	3947	3857	90	3857
10.1	3840	3871	-31	3870
10.12	3983	3885	98	3884
10.14	3896	3899	-3	3898
10.16	3871	3913	-42	3912
10.18	3912	3927	-15	3927
10.2	4001	3942	59	3942
10.22	4025	3957	68	3957
10.24	3946	3973	-27	3972
10.26	3979	3988	-9	3988
10.28	4012	4004	8	4003
10.3	4126	4020	106	4019
10.32	4113	4037	76	4036
10.34	4057	4054	3	4052
10.36	4018	4071	-53	4069
10.38	4027	4088	-61	4087
10.4	4175	4105	70	4104
10.42	4060	4123	-63	4122
10.44	4065	4141	-76	4140
10.46	4267	4160	107	4158
10.48	4030	4178	-148	4177
10.5	4035	4197	-162	4195
10.52	4264	4216	48	4214
10.54	4281	4236	45	4233
10.56	4205	4255	-50	4253
10.58	4197	4275	-78	4272
10.6	4380	4295	85	4292
10.62	4321	4315	6	4312
10.64	4306	4335	-29	4331
10.66	4365	4355	10	4351
10.68	4436	4376	60	4372
10.7	4349	4397	-48	4392
10.72	4384	4417	-33	4412
10.74	4393	4438	-45	4432
10.76	4453	4460	-7	4452
10.78	4492	4481	11	4473
10.8	4330	4503	-173	4493
10.82	4395	4525	-130	4513
10.84	4533	4548	-15	4533
10.86	4598	4572	26	4553
10.88	4576	4598	-22	4574
10.9	4642	4626	16	4594
