HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=18562/336, Cu(45kV,40mA), Thursday, April 09, 2026, 9:35 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3266	3299	-33	3299
5.02	3287	3304	-17	3304
5.04	3358	3308	50	3308
5.06	3351	3313	38	3313
5.08	3235	3317	-82	3317
5.1	3235	3322	-87	3322
5.12	3262	3326	-64	3326
5.14	3269	3331	-62	3331
5.16	3384	3335	49	3335
5.18	3297	3339	-42	3339
5.2	3212	3344	-132	3344
5.22	3320	3348	-28	3348
5.24	3237	3353	-116	3353
5.26	3302	3357	-55	3357
5.28	3274	3361	-87	3361
5.3	3430	3366	64	3366
5.32	3270	3370	-100	3370
5.34	3225	3375	-150	3375
5.36	3352	3379	-27	3379
5.38	3295	3383	-88	3383
5.4	3273	3388	-115	3388
5.42	3235	3392	-157	3392
5.44	3373	3396	-23	3396
5.46	3278	3400	-122	3400
5.48	3308	3405	-97	3405
5.5	3384	3409	-25	3409
5.52	3296	3413	-117	3413
5.54	3367	3417	-50	3417
5.56	3279	3422	-143	3422
5.58	3365	3426	-61	3426
5.6	3219	3430	-211	3430
5.62	3433	3434	-1	3434
5.64	3430	3438	-8	3438
5.66	3301	3442	-141	3442
5.68	3416	3447	-31	3447
5.7	3399	3451	-52	3451
5.72	3302	3455	-153	3455
5.74	3261	3459	-198	3459
5.76	3311	3463	-152	3463
5.78	3259	3467	-208	3467
5.8	3473	3471	2	3471
5.82	3402	3475	-73	3475
5.84	3388	3478	-90	3478
5.86	3431	3482	-51	3482
5.88	3369	3486	-117	3486
5.9	3384	3490	-106	3490
5.92	3256	3494	-238	3494
5.94	3317	3498	-181	3498
5.96	3443	3501	-58	3501
5.98	3405	3505	-100	3505
6.0	3365	3509	-144	3509
6.02	3355	3512	-157	3512
6.04	3439	3516	-77	3516
6.06	3467	3520	-53	3520
6.08	3384	3523	-139	3523
6.1	3458	3527	-69	3527
6.12	3507	3530	-23	3530
6.14	3341	3534	-193	3534
6.16	3449	3537	-88	3537
6.18	3346	3540	-194	3540
6.2	3442	3544	-102	3544
6.22	3402	3547	-145	3547
6.24	3499	3550	-51	3550
