HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=30012/318, Cu(45kV,40mA), Thursday, April 09, 2026, 9:35 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3266	3266	0	3266
5.02	3169	3169	0	3169
5.04	3151	3151	0	3151
5.06	3217	3217	0	3217
5.08	3167	3194	-27	3194
5.1	3149	3183	-34	3183
5.12	3210	3184	26	3184
5.14	3185	3189	-4	3189
5.16	3233	3188	45	3188
5.18	3170	3193	-23	3193
5.2	3178	3200	-22	3200
5.22	3194	3204	-10	3204
5.24	3204	3199	5	3199
5.26	3213	3193	20	3193
5.28	3210	3199	11	3199
5.3	3253	3199	54	3199
5.32	3132	3198	-66	3198
5.34	3187	3202	-15	3202
5.36	3217	3199	18	3199
5.38	3183	3190	-7	3190
5.4	3186	3189	-3	3189
5.42	3235	3188	47	3188
5.44	3191	3190	1	3190
5.46	3128	3189	-61	3189
5.48	3245	3196	49	3196
5.5	3116	3209	-93	3209
5.52	3211	3210	1	3210
5.54	3205	3227	-22	3227
5.56	3247	3246	1	3246
5.58	3300	3258	42	3258
5.6	3250	3278	-28	3278
5.62	3341	3300	41	3300
5.64	3302	3302	0	3302
5.66	3349	3309	40	3309
5.68	3301	3304	-3	3304
5.7	3407	3310	97	3310
5.72	3224	3312	-88	3312
5.74	3303	3306	-3	3306
5.76	3262	3297	-35	3297
5.78	3299	3294	5	3294
5.8	3359	3271	88	3271
5.82	3254	3272	-18	3272
5.84	3265	3271	-6	3271
5.86	3273	3271	2	3271
5.88	3202	3274	-72	3274
5.9	3227	3264	-37	3264
5.92	3299	3266	33	3266
5.94	3263	3265	-2	3265
5.96	3321	3272	49	3272
5.98	3274	3301	-27	3301
6.0	3266	3318	-52	3318
6.02	3261	3332	-71	3332
6.04	3337	3342	-5	3342
6.06	3457	3350	107	3350
6.08	3388	3356	32	3356
6.1	3418	3364	54	3364
6.12	3354	3374	-20	3374
6.14	3391	3381	10	3381
6.16	3329	3371	-42	3371
6.18	3340	3374	-34	3374
6.2	3349	3364	-15	3364
6.22	3406	3378	28	3378
6.24	3366	3389	-23	3389
6.26	3411	3394	17	3394
6.28	3326	3394	-68	3394
6.3	3481	3408	73	3408
6.32	3490	3411	79	3411
6.34	3377	3415	-38	3415
6.36	3341	3434	-93	3434
6.38	3471	3442	29	3442
6.4	3437	3430	7	3430
6.42	3399	3415	-16	3415
6.44	3580	3426	154	3426
6.46	3398	3440	-42	3440
6.48	3375	3451	-76	3451
6.5	3359	3446	-87	3446
6.52	3474	3458	16	3458
6.54	3470	3451	19	3451
6.56	3565	3460	105	3460
6.58	3390	3469	-79	3469
6.6	3509	3478	31	3478
6.62	3515	3490	25	3490
6.64	3479	3508	-29	3508
6.66	3456	3502	-46	3502
6.68	3443	3510	-67	3510
6.7	3581	3521	60	3521
6.72	3635	3524	111	3524
6.74	3510	3530	-20	3530
6.76	3462	3537	-75	3537
6.78	3609	3538	71	3538
6.8	3541	3523	18	3523
6.82	3537	3520	17	3520
6.84	3515	3515	0	3515
6.86	3448	3526	-78	3526
6.88	3452	3519	-67	3519
6.9	3602	3520	82	3520
6.92	3467	3515	-48	3515
6.94	3563	3525	38	3525
6.96	3548	3546	2	3546
6.98	3545	3548	-3	3548
7.0	3497	3618	-121	3618
7.02	3602	3615	-13	3615
7.04	3639	3612	27	3612
7.06	3470	3609	-139	3609
7.08	3565	3606	-41	3606
7.1	3401	3604	-203	3604
7.12	3509	3601	-92	3601
7.14	3528	3598	-70	3598
7.16	3416	3595	-179	3595
7.18	3509	3592	-83	3592
7.2	3436	3589	-153	3589
7.22	3437	3587	-150	3587
7.24	3452	3584	-132	3584
7.26	3406	3581	-175	3581
7.28	3392	3578	-186	3578
7.3	3560	3576	-16	3576
7.32	3525	3573	-48	3573
7.34	3572	3570	2	3570
7.36	3399	3567	-168	3567
7.38	3515	3565	-50	3565
7.4	3512	3562	-50	3562
7.42	3513	3559	-46	3559
7.44	3566	3557	9	3557
7.46	3427	3554	-127	3554
7.48	3566	3552	14	3552
7.5	3466	3549	-83	3549
7.52	3462	3546	-84	3546
7.54	3400	3544	-144	3544
7.56	3379	3541	-162	3541
7.58	3528	3539	-11	3539
7.6	3492	3537	-45	3537
7.62	3490	3534	-44	3534
7.64	3609	3532	77	3532
7.66	3601	3529	72	3529
7.68	3501	3527	-26	3527
7.7	3400	3525	-125	3525
7.72	3428	3523	-95	3523
7.74	3505	3521	-16	3521
7.76	3578	3518	60	3518
7.78	3454	3516	-62	3516
7.8	3493	3514	-21	3514
7.82	3522	3512	10	3512
7.84	3596	3510	86	3510
7.86	3570	3508	62	3508
7.88	3448	3506	-58	3506
7.9	3539	3504	35	3504
7.92	3452	3503	-51	3503
7.94	3549	3501	48	3501
7.96	3515	3499	16	3499
7.98	3415	3497	-82	3497
8.0	3490	3496	-6	3496
8.02	3541	3494	47	3494
8.04	3557	3492	65	3492
8.06	3523	3491	32	3491
8.08	3461	3490	-29	3490
8.1	3494	3488	6	3488
8.12	3555	3487	68	3487
8.14	3565	3486	79	3486
8.16	3468	3484	-16	3484
8.18	3498	3483	15	3483
8.2	3452	3482	-30	3482
8.22	3483	3481	2	3481
8.24	3498	3480	18	3480
8.26	3630	3479	151	3479
8.28	3463	3478	-15	3478
8.3	3496	3477	19	3477
8.32	3590	3477	113	3477
8.34	3628	3476	152	3476
8.36	3543	3475	68	3475
8.38	3494	3475	19	3475
8.4	3627	3474	153	3474
8.42	3465	3474	-9	3474
8.44	3468	3474	-6	3474
8.46	3589	3473	116	3473
8.48	3512	3473	39	3473
8.5	3625	3473	152	3473
8.52	3480	3473	7	3473
8.54	3584	3473	111	3473
8.56	3570	3473	97	3473
8.58	3531	3473	58	3473
8.6	3613	3473	140	3473
8.62	3541	3474	67	3474
8.64	3446	3474	-28	3474
8.66	3498	3475	23	3475
8.68	3499	3475	24	3475
8.7	3601	3476	125	3476
8.72	3544	3477	67	3477
8.74	3613	3477	136	3477
8.76	3504	3478	26	3478
8.78	3490	3479	11	3479
8.8	3581	3480	101	3480
8.82	3616	3481	135	3481
8.84	3544	3483	61	3483
8.86	3476	3484	-8	3484
8.88	3494	3485	9	3485
8.9	3473	3487	-14	3487
8.92	3569	3489	80	3489
8.94	3472	3490	-18	3490
8.96	3455	3492	-37	3492
8.98	3547	3494	53	3494
9.0	3519	3496	23	3496
9.02	3517	3498	19	3498
9.04	3480	3500	-20	3500
9.06	3497	3503	-6	3503
9.08	3513	3505	8	3505
9.1	3501	3507	-6	3507
9.12	3616	3510	106	3510
9.14	3540	3513	27	3513
9.16	3531	3515	16	3515
9.18	3448	3518	-70	3518
9.2	3580	3521	59	3521
9.22	3558	3525	33	3525
9.24	3456	3528	-72	3528
9.26	3512	3531	-19	3531
9.28	3490	3535	-45	3535
9.3	3509	3538	-29	3538
9.32	3447	3542	-95	3542
9.34	3629	3546	83	3546
9.36	3556	3549	7	3549
9.38	3574	3553	21	3553
9.4	3518	3558	-40	3558
9.42	3501	3562	-61	3562
9.44	3498	3566	-68	3566
9.46	3401	3571	-170	3571
9.48	3436	3575	-139	3575
9.5	3630	3580	50	3580
9.52	3653	3585	68	3585
9.54	3514	3590	-76	3590
9.56	3553	3595	-42	3595
9.58	3472	3600	-128	3600
9.6	3518	3605	-87	3605
9.62	3611	3611	0	3611
9.64	3531	3616	-85	3616
9.66	3449	3622	-173	3622
9.68	3500	3628	-128	3628
9.7	3524	3634	-110	3634
9.72	3425	3640	-215	3640
9.74	3557	3646	-89	3646
9.76	3678	3653	25	3653
9.78	3732	3659	73	3659
9.8	3541	3666	-125	3666
9.82	3644	3672	-28	3672
9.84	3637	3679	-42	3679
9.86	3575	3686	-111	3686
9.88	3482	3694	-212	3694
9.9	3645	3701	-56	3701
9.92	3660	3708	-48	3708
9.94	3681	3716	-35	3716
9.96	3632	3724	-92	3724
9.98	3691	3732	-41	3732
10.0	3717	3740	-23	3740
10.02	3670	3748	-78	3748
10.04	3656	3756	-100	3756
10.06	3736	3765	-29	3765
10.08	3762	3773	-11	3773
10.1	3680	3782	-102	3782
10.12	3788	3791	-3	3791
10.14	3650	3800	-150	3800
10.16	3653	3810	-157	3809
10.18	3702	3819	-117	3819
10.2	3743	3829	-86	3828
10.22	3739	3839	-100	3838
10.24	3874	3848	26	3848
10.26	3853	3858	-5	3858
10.28	3841	3869	-28	3868
10.3	3775	3879	-104	3878
10.32	3850	3889	-39	3888
10.34	3661	3900	-239	3899
10.36	3872	3911	-39	3909
10.38	3916	3922	-6	3920
10.4	3838	3933	-95	3930
10.42	3949	3944	5	3941
10.44	3983	3955	28	3952
10.46	3931	3967	-36	3963
10.48	3926	3979	-53	3974
10.5	4019	3991	28	3985
10.52	3905	4005	-100	3996
10.54	3964	4019	-55	4007
10.56	3938	4036	-98	4018
10.58	3987	4053	-66	4029
10.6	4000	4072	-72	4040
10.62	4056	4092	-36	4051
10.64	4008	4112	-104	4062
10.66	4078	4130	-52	4073
10.68	4056	4143	-87	4084
10.7	4139	4152	-13	4095
10.72	4189	4157	32	4106
10.74	4111	4160	-49	4117
10.76	4153	4162	-9	4128
10.78	4168	4165	3	4139
10.8	4177	4169	8	4150
10.82	4138	4175	-37	4161
10.84	4289	4181	108	4172
10.86	4163	4190	-27	4183
10.88	4269	4198	71	4193
10.9	4337	4208	129	4204
10.92	4196	4217	-21	4214
10.94	4252	4227	25	4225
10.96	4228	4237	-9	4235
10.98	4250	4247	3	4245
11.0	4304	4257	47	4255
11.02	4392	4266	126	4265
11.04	4199	4276	-77	4275
11.06	4224	4286	-62	4284
11.08	4529	4295	234	4294
11.1	4448	4304	144	4303
11.12	4448	4313	135	4312
11.14	4464	4322	142	4321
11.16	4405	4331	74	4330
11.18	4343	4339	4	4339
11.2	4407	4347	60	4347
11.22	4430	4356	74	4356
11.24	4534	4364	170	4364
11.26	4497	4372	125	4372
11.28	4495	4379	116	4379
11.3	4490	4387	103	4387
11.32	4485	4394	91	4394
11.34	4513	4401	112	4401
11.36	4531	4408	123	4408
11.38	4420	4415	5	4415
11.4	4605	4421	184	4421
11.42	4520	4427	93	4427
11.44	4453	4433	20	4433
11.46	4541	4438	103	4438
11.48	4566	4443	123	4443
11.5	4468	4448	20	4448
11.52	4659	4453	206	4453
11.54	4542	4457	85	4457
11.56	4574	4462	112	4462
11.58	4616	4465	151	4465
11.6	4566	4469	97	4469
11.62	4547	4472	75	4472
11.64	4631	4475	156	4475
11.66	4575	4477	98	4477
11.68	4649	4479	170	4479
11.7	4621	4481	140	4481
11.72	4579	4483	96	4483
11.74	4596	4484	112	4484
11.76	4552	4484	68	4484
11.78	4731	4485	246	4485
11.8	4728	4485	243	4485
11.82	4665	4484	181	4484
11.84	4674	4483	191	4483
11.86	4601	4482	119	4482
11.88	4624	4480	144	4480
11.9	4617	4478	139	4478
11.92	4593	4476	117	4476
11.94	4588	4473	115	4473
11.96	4551	4470	81	4470
11.98	4603	4466	137	4466
12.0	4503	4462	41	4462
12.02	4654	4457	197	4457
12.04	4587	4452	135	4452
12.06	4511	4447	64	4447
12.08	4515	4441	74	4441
12.1	4556	4435	121	4435
12.12	4687	4429	258	4429
12.14	4655	4422	233	4422
12.16	4516	4415	101	4415
12.18	4504	4407	97	4407
12.2	4482	4399	83	4399
12.22	4397	4391	6	4391
12.24	4430	4383	47	4383
12.26	4434	4374	60	4374
12.28	4446	4364	82	4364
12.3	4243	4355	-112	4355
12.32	4375	4345	30	4345
12.34	4331	4335	-4	4335
12.36	4385	4324	61	4324
12.38	4290	4313	-23	4313
12.4	4213	4302	-89	4302
12.42	4273	4291	-18	4291
12.44	4207	4279	-72	4279
12.46	4097	4267	-170	4267
12.48	4115	4255	-140	4255
12.5	4100	4242	-142	4242
12.52	4270	4229	41	4229
12.54	4112	4216	-104	4216
12.56	4192	4203	-11	4203
12.58	4089	4189	-100	4189
12.6	4055	4175	-120	4175
12.62	4179	4161	18	4161
12.64	4274	4147	127	4147
12.66	4139	4132	7	4132
12.68	4125	4117	8	4117
12.7	4008	4102	-94	4102
12.72	4147	4087	60	4087
12.74	3966	4071	-105	4071
12.76	3982	4055	-73	4055
12.78	3975	4040	-65	4040
12.8	3921	4023	-102	4023
12.82	4002	4007	-5	4007
12.84	3805	3991	-186	3991
12.86	3827	3974	-147	3974
12.88	3883	3957	-74	3957
12.9	3896	3940	-44	3940
12.92	3870	3923	-53	3923
12.94	3842	3905	-63	3905
12.96	3763	3888	-125	3888
12.98	3797	3870	-73	3870
13.0	3763	3852	-89	3852
13.02	3704	3834	-130	3834
13.04	3753	3816	-63	3816
13.06	3800	3798	2	3798
13.08	3756	3780	-24	3780
13.1	3678	3761	-83	3761
13.12	3552	3742	-190	3742
13.14	3558	3724	-166	3724
13.16	3481	3705	-224	3705
13.18	3582	3686	-104	3686
13.2	3590	3667	-77	3667
13.22	3611	3648	-37	3648
13.24	3615	3628	-13	3628
13.26	3450	3609	-159	3609
13.28	3577	3590	-13	3590
13.3	3515	3570	-55	3570
13.32	3464	3551	-87	3551
13.34	3353	3531	-178	3531
13.36	3450	3512	-62	3512
13.38	3435	3492	-57	3492
13.4	3455	3472	-17	3472
13.42	3462	3452	10	3452
13.44	3311	3433	-122	3433
13.46	3392	3413	-21	3413
13.48	3271	3393	-122	3393
13.5	3382	3373	9	3373
13.52	3272	3353	-81	3353
13.54	3291	3333	-42	3333
13.56	3231	3313	-82	3313
