HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=7957.0/403.0, Cu(45kV,40mA), Thursday, April 16, 2026, 10:48 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	2862.0	2816.4	45.6	2816.4
5.02	2800.0	2814.7	-14.7	2814.7
5.04	2817.0	2812.9	4.1	2812.9
5.06	2771.0	2811.2	-40.2	2811.2
5.08	2832.0	2809.4	22.6	2809.4
5.1	2756.0	2807.7	-51.7	2807.7
5.12	2678.0	2805.9	-127.9	2805.9
5.14	2848.0	2804.2	43.8	2804.2
5.16	2752.0	2802.4	-50.4	2802.4
5.18	2743.0	2800.7	-57.7	2800.7
5.2	2768.0	2799.0	-31.0	2799.0
5.22	2724.0	2797.2	-73.2	2797.2
5.24	2777.0	2795.5	-18.5	2795.5
5.26	2765.0	2793.8	-28.8	2793.8
5.28	2799.0	2792.0	7.0	2792.0
5.3	2743.0	2790.3	-47.3	2790.3
5.32	2776.0	2788.6	-12.6	2788.6
5.34	2728.0	2786.9	-58.9	2786.9
5.36	2858.0	2785.2	72.8	2785.2
5.38	2760.0	2783.5	-23.5	2783.5
5.4	2799.0	2781.8	17.2	2781.8
5.42	2758.0	2780.1	-22.1	2780.1
5.44	2743.0	2778.4	-35.4	2778.4
5.46	2786.0	2776.7	9.3	2776.7
5.48	2806.0	2775.0	31.0	2775.0
5.5	2841.0	2773.4	67.6	2773.4
5.52	2791.0	2771.7	19.3	2771.7
5.54	2698.0	2770.0	-72.0	2770.0
5.56	2740.0	2768.4	-28.4	2768.4
5.58	2691.0	2766.7	-75.7	2766.7
5.6	2724.0	2765.1	-41.1	2765.1
5.62	2767.0	2763.5	3.5	2763.5
5.64	2702.0	2761.9	-59.9	2761.9
5.66	2827.0	2760.3	66.7	2760.3
5.68	2831.0	2758.7	72.3	2758.7
5.7	2731.0	2757.1	-26.1	2757.1
5.72	2657.0	2755.5	-98.5	2755.5
5.74	2775.0	2753.9	21.1	2753.9
5.76	2786.0	2752.3	33.7	2752.3
5.78	2784.0	2750.8	33.2	2750.8
5.8	2715.0	2749.2	-34.2	2749.2
5.82	2929.0	2747.7	181.3	2747.7
5.84	2777.0	2746.2	30.8	2746.2
5.86	2662.0	2744.7	-82.7	2744.7
5.88	2757.0	2743.2	13.8	2743.2
5.9	2739.0	2741.7	-2.7	2741.7
5.92	2825.0	2740.2	84.8	2740.2
5.94	2786.0	2738.7	47.3	2738.7
5.96	2751.0	2737.3	13.7	2737.3
5.98	2700.0	2735.8	-35.8	2735.8
6.0	2719.0	2734.4	-15.4	2734.4
6.02	2858.0	2733.0	125.0	2733.0
6.04	2762.0	2731.6	30.4	2731.6
6.06	2720.0	2730.2	-10.2	2730.2
6.08	2785.0	2728.8	56.2	2728.8
6.1	2747.0	2727.5	19.5	2727.5
6.12	2847.0	2726.1	120.9	2726.1
6.14	2814.0	2724.8	89.2	2724.8
6.16	2723.0	2723.5	-0.5	2723.5
6.18	2700.0	2722.2	-22.2	2722.2
6.2	2705.0	2720.9	-15.9	2720.9
6.22	2800.0	2719.6	80.4	2719.6
6.24	2776.0	2718.4	57.6	2718.4
6.26	2699.0	2717.1	-18.1	2717.1
6.28	2672.0	2715.9	-43.9	2715.9
6.3	2744.0	2714.7	29.3	2714.7
6.32	2658.0	2713.5	-55.5	2713.5
6.34	2851.0	2712.3	138.7	2712.3
6.36	2760.0	2711.2	48.8	2711.2
6.38	2743.0	2710.1	32.9	2710.1
6.4	2725.0	2708.9	16.1	2708.9
6.42	2786.0	2707.8	78.2	2707.8
6.44	2745.0	2706.8	38.2	2706.8
6.46	2704.0	2705.7	-1.7	2705.7
6.48	2736.0	2704.7	31.3	2704.7
6.5	2751.0	2703.6	47.4	2703.6
6.52	2839.0	2702.6	136.4	2702.6
6.54	2769.0	2701.6	67.4	2701.6
6.56	2768.0	2700.7	67.3	2700.7
6.58	2750.0	2699.7	50.3	2699.7
6.6	2677.0	2698.8	-21.8	2698.8
